asset,bytes,sha256,production,instances,branchLODs,frondLODs,leafLODs,nearBranchVertices,nearBranchTriangles,nearFrondVertices,nearFrondTriangles,nearLeaves,farBillboard,collisions,texturesAvailable
d:/ymir work/tree/b3_pagodatree_rt_winter2.spt,7951,ea34cd93e320c38e79837ab348022ea6cab4a62b295fd20a54c7a4a9688129f5,True,45,6,4,4,399,624,92,46,0,True,2,True
d:/ymir work/tree/b3_shingleoak_rt.spt,6550,e03e7c40dd56befae1804550d90f114a1496f7a5c0fa18ae111de5a19372639b,True,43,6,4,4,2248,833,0,0,447,True,2,True
d:/ymir work/tree/b3_shingleoak_rt2.spt,6550,d59d8a429a63272bcd21b403cd581556b57a140f5cdc65c7af329d30b6770d26,True,41,6,4,4,2032,651,0,0,280,True,2,True
d:/ymir work/tree/b3_shingleoak_rt3.spt,6550,2bec6d9317e3947386c56c4183db454fe629af9fa87de759324928e681eb5742,True,43,6,4,4,2080,609,0,0,355,True,2,True
d:/ymir work/tree/b3_shingleoak_rt4.spt,6550,0a15ca2a0809cc74e6d72ed48b137906f02f0e44994228fa9f840d76a6ca52cc,True,36,6,4,4,2392,1155,0,0,600,True,2,True
d:/ymir work/tree/b3_shingleoak_rt5.spt,6550,dbc300acb7356f4f51e897a2e248a2883241ea570d5d8cded218b31401206534,True,34,6,4,4,2152,924,0,0,441,True,2,True
d:/ymir work/tree/b3_umbrellathorn_rt_flowers.spt,8371,0e8ab0197ee0db8e3a40e4b8d6c5c8f0b291284d2ccb7e13cee41d0f0792cc6f,True,83,6,4,4,364,539,84,42,42,True,3,True
d:/ymir work/tree/b3_umbrellathorn_rt_flowers2.spt,8351,3c5c75535819e405b61cd21c89d514a8d2b0e6afdd75428cc0687745a3314cfe,True,79,6,4,4,448,658,88,44,40,True,2,True
d:/ymir work/tree/b3_umbrellathorn_rt_flowers3.spt,8351,a6592779c9460b004be7956123a13f439bef0669dbfdad4bd330b78c44b100d2,True,93,6,4,4,448,658,104,52,36,True,2,True
d:/ymir work/tree/b3_umbrellathorn_rt_flowers4.spt,8351,44ec99e53b3158a6619ec7a5cb4110bfb67ff9943224b068a8bc99fa1d92c0d0,True,124,6,4,4,508,742,124,62,75,True,2,True
d:/ymir work/tree/christmastree1.spt,6774,d85676762825b8324ebeba85bc9a0e2242da8d225c5699c042f469abd17d01d7,True,0,6,4,2,667,912,472,236,474,True,4,True
d:/ymir work/tree/christmastree2.spt,6775,6277b6d6dd747b0a6aa067fc2a27e8e7dad3bd8c9c755d6b124bc474b4107a1d,True,0,6,4,2,667,912,472,236,474,True,4,True
d:/ymir work/tree/christmastree3.spt,6775,074755f44edc3d836c20b8e254c61af805c3e7f3cbe1e65f76bb35bd3d66ca8f,True,0,6,4,2,667,912,472,236,474,True,4,True
d:/ymir work/tree/n1_baobab_rt_winter.spt,6448,0ce9fe068b0a227cb4ce1c36dbeff5792ae6488f012c028b54ab89d7ef2b2f3b,False,0,6,4,4,393,616,112,56,0,True,2,True
d:/ymir work/tree/n1_beech_rt_winter.spt,6682,0d766295707ebd0e6af56bfc49ed1bca8bc11f7b15f79be44e221bbe9e18d53e,True,315,6,4,4,342,498,176,88,0,True,2,True
d:/ymir work/tree/n1_beech_rt_winter02.spt,6682,e5497e163459d6ad06745e4b8a5ab95422fb59143e7aa76cf40ac65d242872b3,True,246,6,4,4,342,498,160,80,0,True,2,True
d:/ymir work/tree/n1_beech_rt_winter03.spt,6682,41997e16e6110e21096ffa2d85f0d2135e7b8a4ec82a869f899a6325776a2225,True,166,6,4,4,367,534,172,86,0,True,2,True
d:/ymir work/tree/n1_coloradobluespruce_rt_01.spt,5332,b60fa3d6329d76d4b85da226e88c36241bf8fb4e3a3fc5e1316f0a64d7e2c6ad,True,326,6,4,4,1249,762,0,0,375,True,5,True
d:/ymir work/tree/n1_coloradobluespruce_rt_02.spt,5332,265aef90b037111a8d08bd4f258501872be9fc0b4bacf6ad17820241c5f959a1,True,220,6,4,4,1249,672,0,0,324,True,5,True
d:/ymir work/tree/n1_coloradobluespruce_rt_03.spt,5332,2e3fe98b0ca1aae0ad512741f9465e42653b4c4df7345bc915e6b6b3bf80d27d,True,174,6,4,4,1249,780,0,0,378,True,5,True
d:/ymir work/tree/n1_commonolive_rt_winter.spt,6562,4c3b7f1bc32ca54a581a22eb99a5229c066a2e3db84d73c4a260b41ecb4151d6,True,120,6,4,4,387,640,256,128,0,True,2,True
d:/ymir work/tree/n1_montereycypress_rt_winter_01.spt,8844,e63e6fd8aec38f5a4dea10edce507870f834cf1da5fbd8b5e789dc75f773957c,True,108,6,4,4,600,729,96,48,86,True,2,True
d:/ymir work/tree/n1_montereycypress_rt_winter_02.spt,8844,bd813274fcc6fc3c8bf26a9bc85eb6b3c18d0a4a68dd0a51e13183f4634680da,True,95,6,4,4,560,702,116,58,114,True,2,True
d:/ymir work/tree/n1_montereycypress_rt_winter_03.spt,8844,1af978f7efd1be5ba7af90056c4b933f74154c60a47a20fe88f4872aaf7bc862,True,45,6,4,4,480,594,84,42,77,True,2,True
d:/ymir work/tree/n1_tulip_rt_winter_01.spt,6545,36389501b6156b934f960d826ac2e3ecae86430cf53dc88dd6c30f5a8415aba9,True,43,6,4,4,7389,4210,0,0,0,True,1,True
d:/ymir work/tree/n1_whitepine_rt_low_01.spt,5198,0df26ab085d443bccc61d8ec878b61117f64db3b3ffa31e70fa0fce6d5f59361,True,63,6,4,4,42,65,66,44,74,True,1,True
d:/ymir work/tree/n1_whitepine_rt_low_02.spt,5198,ac5bb9b19999fe6d20793898edc7b709b1ba792e6cac2cc7ed5fcd64abdfb03f,True,100,6,4,4,42,65,114,76,78,True,1,True
d:/ymir work/tree/n2_aloevera_rt_flowers_01.spt,5155,34314fd26754a94e9215723fd970a09b360eef0f8fa7e93c55c44b6dadd4b4c8,True,256,6,6,4,36,56,336,384,0,True,0,True
d:/ymir work/tree/n2_aloevera_rt_flowers_02.spt,5155,e0c3f6cfe9200acf3fe66fcc33fa52e2bbab55a48a35815178e74ee80e717c36,True,416,6,6,4,36,56,336,384,0,True,0,True
d:/ymir work/tree/n2_bananatree_rt_01.spt,5484,f7c94a390c712edae5557d03849373c713d4ce28fba6080d87fc761216c4a26d,True,48,6,6,4,99,168,475,608,0,True,2,True
d:/ymir work/tree/n2_bananatree_rt_02.spt,5484,23b662d2b6d87d268460e4ae100b618ecfac6dd5262f59a2912e6dfe74530436,True,49,6,6,4,99,168,475,608,0,True,2,True
d:/ymir work/tree/n2_cinnamonfern_rt_01.spt,4937,93ded82028c0f2e97d0403ec045b89bbc1ac859ad8b84a2e1930e0503907b354,True,513,6,6,4,27,34,200,240,0,True,0,True
d:/ymir work/tree/n2_cinnamonfern_rt_02.spt,4937,dc389cbfc25b6e3226e961e7e392ed96c7a789c0dfc1d392b0a1950e81f59f9e,True,433,6,6,4,27,34,200,240,0,True,0,True
d:/ymir work/tree/n2_cinnamonfern_rt_03.spt,4937,82566982c7decbccbbb9e50f0b1d399a86bed94a968e0a78e2ce8b25989d2462,True,208,6,6,4,27,34,200,240,0,True,0,True
d:/ymir work/tree/n2_coconutpalm_rt_01.spt,5262,af5abcd685bf92c9597740c9c85168f6104e62c12e30117ca5759bf555f2c6ff,True,73,6,6,4,63,104,495,704,0,True,2,True
d:/ymir work/tree/n2_coconutpalm_rt_02.spt,5262,e45bdc521daaeb53191a995485513b046b0602b60d55185e465ded20a8242828,True,76,6,6,4,63,104,540,768,0,True,2,True
d:/ymir work/tree/n2_coconutpalm_rt_03.spt,5262,75b89b54281bedd408be91863cfbf1131a7c9fce5c0e153e601db3c7195c8dd6,True,67,6,6,4,63,104,495,704,0,True,2,True
d:/ymir work/tree/n2_curlypalm_rt_01.spt,5242,8a6d6468b7f97040b08ba70718650abbd0d0c4684fa6e092b0a603717ed0ec28,True,74,6,6,4,42,65,630,864,0,True,2,True
d:/ymir work/tree/n2_curlypalm_rt_02.spt,5242,de5e22bb1610c61bcb00e3835698b6a9b50b67263a438b9ba7400157dce42b5e,True,61,6,6,4,42,65,630,864,0,True,2,True
d:/ymir work/tree/n2_curlypalm_rt_03.spt,5242,97ce0c94956eeafad580424081ae4ab767f01e948ab9461a9b48e5cf8bd824af,True,149,6,6,4,42,65,630,864,0,True,2,True
d:/ymir work/tree/n2_datepalm_rt_01.spt,5233,6e24a4896134057a1bc495f0f8af32ca74a7b51e0d54baa612f6dcd36a99b54e,True,94,6,6,4,49,78,720,720,0,True,2,True
d:/ymir work/tree/n2_datepalm_rt_02.spt,5233,55de8a592ad3d9294583bcf27c80fba3fe71afdc669c5657ee7cc77a4002d255,True,108,6,6,4,49,78,720,720,0,True,2,True
d:/ymir work/tree/n2_datepalm_rt_03.spt,5233,2007d4ba90f12b8a00d2a0a539954e420c37f2151f438c5ad06eb63a78fe853d,True,60,6,6,4,49,78,720,720,0,True,2,True
d:/ymir work/tree/n2_joshuatree_rt_01.spt,8405,2bc2d707e302c58d099e64615ae127371c93700f91d52d31e8ec6f63010e2c0f,True,254,6,4,4,437,578,224,112,15,True,2,True
d:/ymir work/tree/n2_joshuatree_rt_02.spt,8405,111cb80abecb5c5a35aaa8315ad6ec4c59772af927729780e0add02c9ba262b5,True,221,6,4,4,541,716,280,140,23,True,2,True
d:/ymir work/tree/n2_joshuatree_rt_03.spt,8636,a89a40ac942ee7a3d701a6835450a513a336e9835d20750036374e27c259b2d5,True,294,6,4,4,541,716,264,132,23,True,2,True
d:/ymir work/tree/n2_palmetto_rt_01.spt,5580,19685a989e47f21d14fb9c2f2e71fd86930f8841a3dafae42b608988c3317119,True,38,2,4,3,1674,170,0,0,27,True,2,True
d:/ymir work/tree/n2_palmetto_rt_02.spt,5580,e167a7cb1d19c9d118be00d5dff39221695a582ec7caeabfae1f7826aff0d823,True,25,2,4,3,1674,170,0,0,28,True,2,True
d:/ymir work/tree/n2_palmetto_rt_03.spt,5580,d096c9a78ede5fb7db97685b6dab4967f9dad9a24dbf147b762faffdf1281fc4,True,25,2,4,3,1674,170,0,0,31,True,2,True
d:/ymir work/zone/b/tree/1/baobab_rt.spt,6629,68077e7ae9d8a375063754b9cfe62969aaa68bda53b419031569c755e18eb2e5,False,0,6,4,4,393,616,100,50,65,True,2,True
d:/ymir work/zone/b/tree/1/baobab_rt2.spt,6629,03a31b73de0672b9360eae3fc4d000ace11c341caf17eec23fa3d3997453e5e8,False,0,6,4,4,393,616,112,56,70,True,2,True
d:/ymir work/zone/b/tree/1/beech_rt.spt,6736,f9264223489e6b5eff192ec766afb8b9f34d99dac63017b769b0a7223692322e,False,0,6,4,4,282,402,100,50,109,True,2,True
d:/ymir work/zone/b/tree/1/beech_rt2.spt,6736,80d61add682010e3a226f71f2e0244713c75e6e1df1a4edfb06397e5ff535869,False,0,6,4,4,302,430,112,56,138,True,2,True
d:/ymir work/zone/b/tree/1/beech_rt3.spt,6736,e6b473147a87e295fae59dc792130c731117143ac1ea5265f33408649a679c00,False,0,6,4,4,302,430,116,58,130,True,2,True
d:/ymir work/zone/b/tree/1/beech_rt4.spt,6736,67a9b09aefd12ff3e3ee986327c5107f49324c58e9c67488fef8b062942dc181,False,0,6,4,4,282,402,96,48,114,True,2,True
d:/ymir work/zone/b/tree/1/montereycypress_rt.spt,8813,2c63d08d7b18d4a74d16cc9b968072897876b93b765c289320da9af529ad29ef,False,0,6,4,4,560,675,108,54,102,True,2,True
d:/ymir work/zone/b/tree/1/montereycypress_rt2.spt,8813,69265c8347b167652f23733849e24aeec3ecd46a12f78b3f57c59cf8819afaf9,False,0,6,4,4,600,783,116,58,81,True,2,True
d:/ymir work/zone/b/tree/1/montereycypress_rt3.spt,8813,679e298b66859ef440369cb5b6b504c1f79495723c9fca04bb211d76180a5b4c,False,0,6,4,4,865,1035,188,94,171,True,2,True
d:/ymir work/zone/b/tree/1/montereycypress_rt4.spt,8813,eadc92066f81db727cb871fe5d6eb735061f0d3a2bff666ce69541f2a2821cf6,False,0,6,4,4,520,675,96,48,100,True,2,True
d:/ymir work/zone/b/tree/1/montereycypress_rt5.spt,8813,014b9c05f60193e0cd007e3ce0be2229d87c9a896d329669a329a9de50ad3bdf,False,0,6,4,4,825,981,160,80,114,True,2,True
d:/ymir work/zone/b/tree/1/pagodatree_rt.spt,8011,d7fcfbafa9bd43dab28d1f9699b794bdfe41428955814691af8df91a6ca80aa9,False,0,6,4,4,447,694,116,58,122,True,2,True
d:/ymir work/zone/b/tree/1/pagodatree_rt2.spt,8031,e7fe0082db981e9e909c7db23db6a841c65fa3f4d02da08c9b46e6103c7ac0c8,False,0,6,4,4,495,764,112,56,130,True,3,True
d:/ymir work/zone/b/tree/1/pagodatree_rt3.spt,8011,a2777b917be5f799c69fbccca7fd50296b67a8a2c150aca89861c41535051fa1,False,0,6,4,4,423,659,92,46,119,True,2,True
d:/ymir work/zone/b/tree/1/sassafras_rt_fall.spt,6612,28a362dd4f2ef0542173cc6388a0ef069ca6bcf0b764c2df894eb240e0bd3a87,False,0,6,4,4,342,486,56,28,119,True,2,True
d:/ymir work/zone/b/tree/1/sassafras_rt_fall2.spt,6612,5d3410d6775f77b6b26448a56cad69d54b25266f23e773b8fb7c3e023ed1f13a,False,0,6,4,4,342,486,56,28,108,True,2,True
d:/ymir work/zone/b/tree/c/englishoak_rt_low_01.spt,5409,a8292a8dc7382eaffcdb88860481fbf193298770c309b5bf83125cbf0c93a85a,False,0,6,4,4,1472,435,0,0,51,True,2,True
d:/ymir work/zone/b/tree/c/englishoak_rt_low_02.spt,5341,764ebac1f92235fed1abe262aab7e52750fca6ad5ba8414aef74e2112a94c935,False,0,6,4,4,1472,421,0,0,55,True,2,True
d:/ymir work/zone/b/tree/c/englishoak_rt_low_03.spt,5337,231c2ab1458f3a448869277ccc878adc2d16d529a98a6d6b8c8a0287f4d6bbbe,False,0,6,4,4,1472,435,0,0,40,True,2,True
d:/ymir work/zone/b/tree/c/greenash_rt_01.spt,7057,8f0ed970c7791f57c4ab5982312a4b55bc0aa7e3b967cf183c5a8209ed68702c,False,0,6,4,4,499,636,168,84,144,True,2,True
d:/ymir work/zone/b/tree/c/greenash_rt_02.spt,7056,47622ad672683b65de158260d87c5f9724f3bd820eb76b7c933259e4eb53362c,False,0,6,4,4,499,636,136,68,122,True,2,True
d:/ymir work/zone/b/tree/c/greenash_rt_03.spt,7061,e1545f5c508bcfb784462e6d84e0030b89e774949e568c01e4ce2dcc0af3c552,False,0,6,4,4,499,636,148,74,127,True,2,True
d:/ymir work/zone/b/tree/c/redmaple_rt_01.spt,5323,b35ac69e217c33ec996c47be36f7a9772f0110b56abe0319b9ee24802dff48fc,False,0,6,4,4,792,642,0,0,281,True,2,True
d:/ymir work/zone/b/tree/c/redmaple_rt_02.spt,5322,49eb41d3875d9df35a053737b7dad71c44af7828b7a2388b731bda356e3b3956,False,0,6,4,4,792,642,0,0,270,True,2,True
d:/ymir work/zone/b/tree/c/redmaple_rt_03.spt,5323,b0f5726e3365f4c845ec2bc191d541ae5d39a505ff73a0c71a391055e1c87d0c,False,0,6,4,4,792,606,0,0,272,True,2,True
d:/ymir work/zone/b/tree/c/riverbirch_rt_01.spt,6522,efafec804f69d06241c3a3108d23682c1fc3fcba38900d2a40a6417df550ea27,False,0,6,4,4,1324,588,0,0,279,True,2,True
d:/ymir work/zone/b/tree/c/riverbirch_rt_02.spt,6522,4891a2f703f4477251454a32ee52d2992fe2789b529a6d492837d88e8e86d1a6,False,0,6,4,4,1304,644,0,0,277,True,2,True
d:/ymir work/zone/b/tree/c/riverbirch_rt_03.spt,6522,4649fd4141ca5694977afd7a8f558a97a7264a6afbaa30e7b2d7bd54907aae1e,False,0,6,4,4,1324,644,0,0,332,True,2,True
d:/ymir work/zone/b/tree/c/sugarmaple_rt_01.spt,5207,e40f7a0bd17a09a671d147f5db97063f4133ebdbdf582d67f2564ee4b2223166,False,0,6,4,4,769,384,0,0,427,True,2,True
d:/ymir work/zone/b/tree/c/sugarmaple_rt_02.spt,5215,4cdd1322a390cd10ca5586bea3ecd94d555e8de59239fe145019e4a700c6be93,False,0,6,4,4,949,498,0,0,390,True,2,True
d:/ymir work/zone/b/tree/c/sugarmaple_rt_03.spt,5248,a9a22b509953c02e716db55a585d0d751848268c7fa2f38c518c139b075a5b7e,False,0,6,4,4,653,462,0,0,391,True,2,True
