"file","line","owner_or_function","dependency","category","current_role","c2x_action","target_boundary","result_status","baseline_revision"
"src/UserInterface/PythonApplication.cpp","881","CPythonApplication::SetDefaultCamera","SetWindowPos; GetWindowHandle","A - Window / Event Loop","game application resizes the HWND directly","call PlatformWindow resize","PlatformWindow","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/Renderer/IRenderBackend.h","11","Renderer::InitializeInfo","void* window","A - Window / Event Loop","renderer interface already avoids HWND and accepts an untyped pointer only at backend initialization","retain void* as the true Diligent native-window interop; obtain it from NativeWindowHandle only at the call boundary","Platform NativeTypes -> Diligent interop","retained-interop","9aa71a2674e271becd586743ab02019a68900348"
"src/Renderer/DiligentD3D11Backend.cpp","11","DiligentD3D11Backend::Initialize","Diligent::NativeWindow","J - bewusst Windows-only Feature","D3D11 swapchain consumes the opaque native window","retain as a true interop boundary; do not move lifecycle into renderer","Diligent D3D11 Windows interop","retained-interop","9aa71a2674e271becd586743ab02019a68900348"
"src/Renderer/RendererBootstrap.cpp","20","Renderer smoke WindowProcedure","HWND; WM_SIZE; PostQuitMessage; DefWindowProcW","A - Window / Event Loop","test/smoke path duplicates a Win32 WndProc","reuse PlatformWindow event and resize contract","PlatformWindow","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/Renderer/RendererBootstrap.cpp","44","RunRendererBootstrap","RegisterClassW; CreateWindowW; PeekMessageW; DispatchMessageW; SetWindowPos; DestroyWindow","A - Window / Event Loop","renderer smoke path owns a second complete Win32 lifecycle","replace with PlatformWindow; keep D3D11 backend focused on swapchain","PlatformWindow -> Diligent","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/Renderer/TerrainPresentation.cpp","40","TerrainPresentation::Initialize","HWND; CreateWindowExW; WS_CHILD","A - Window / Event Loop","production renderer creates a child HWND and mutates parent WS_CLIPCHILDREN","encapsulate child-window create/style ownership and retain native handle only for swapchain","PlatformChildWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/Renderer/TerrainPresentation.cpp","149","TerrainPresentation shutdown/resize/visibility","IsWindow; DestroyWindow; ShowWindow; SetWindowPos; SetWindowLongPtrW","A - Window / Event Loop","renderer directly manages child-window lifecycle and parent style restoration","delegate to PlatformChildWindow RAII with identical style restoration","PlatformChildWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/Input.h","13","CInputDevice / CInputKeyboard","HWND; HRESULT; LPDIRECTINPUT8; LPDIRECTINPUTDEVICE8","B - Input","game-facing input classes expose DirectInput and HWND","introduce neutral key/input interface; hide DirectInput objects in Windows backend","PlatformInput / Windows DirectInput","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/Input.cpp","18","CInputDevice::CreateDevice","DirectInput8Create; GetModuleHandle","B - Input","DirectInput object initialization is in a generic EterLib source","move unchanged initialization into Windows input backend","PlatformInput / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/Input.cpp","56","CInputKeyboard::InitializeKeyboard","CreateDevice; SetDataFormat; SetCooperativeLevel; Acquire","B - Input","keyboard hardware acquisition is coupled to application class","backend takes opaque native window and reports neutral success","PlatformInput / Windows DirectInput","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/Input.cpp","89","CInputKeyboard::UpdateKeyboard","GetDeviceState; Acquire; DIK state","B - Input","hardware scan and key-edge generation are combined","retain DIK-compatible scan codes but expose neutral key transitions","PlatformInput","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplication.h","51","CPythonApplication inheritance","CMSApplication; CInputKeyboard","B - Input","game application inherits concrete Win32 window and DirectInput implementations","compose PlatformWindow and PlatformInput while keeping OnKeyDown/OnKeyUp behavior","PlatformWindow + PlatformInput","partial","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplicationEvent.cpp","129","CPythonApplication::OnKeyDown / OnKeyUp","DIK_ESCAPE; raw scan index","B - Input","hardware scan code enters UI callback and escape handling directly","keep compatibility scan values at adapter; separate hardware event from gameplay/UI action","InputSystem action boundary","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplicationCursor.cpp","36","CPythonApplication cursor methods","LoadImage; ShowCursor; SetCursor; HANDLE/HCURSOR","H - Cursor / Clipboard / Shell","cursor resources and visibility are direct Win32 operations","wrap cursor load/visibility/set while preserving cursor IDs and reference-count loop","PlatformCursor / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplicationProcedure.cpp","9","CPythonApplication mouse capture","SetCapture; ReleaseCapture","H - Cursor / Clipboard / Shell","mouse capture is direct HWND behavior","expose capture/release on PlatformWindow or cursor service","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/IME.cpp","777","CIME clipboard methods","OpenClipboard; EmptyClipboard; SetClipboardData; GetClipboardData; CloseClipboard","H - Cursor / Clipboard / Shell","IME/editor code directly owns Unicode clipboard transfer","wrap clipboard open/read/write while preserving Unicode and ownership rules","PlatformClipboard / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/FontManager.cpp","119","CFontManager::ResolveFontPath","windows.h; shlobj.h; GetWindowsDirectoryA; C:\\Windows\\Fonts fallback","C - Filesystem / Paths","font lookup owns the only explicit drive-letter fallback and a Win32 Windows-directory query","retain the existing Windows fallback in C2-X; defer a dedicated system-font path service","PlatformFilesystem / Windows","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/FileBase.cpp","59","CFileBase::Create / Read / Write","CreateFileW; GetFileSize; ReadFile; WriteFile; GetCurrentDirectory","C - Filesystem / Paths","generic file object is implemented directly with Win32 handles and assumes CWD","route basic open/read/size through platform filesystem; preserve flags and legacy size limit","PlatformFilesystem / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/FileDir.cpp","44","CFileDir::Create","FindFirstFileW; FindNextFileW; FindClose","C - Filesystem / Paths","directory traversal is Win32-specific","confine enumeration to Windows backend or neutral directory helper","PlatformFilesystem / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/FileLoader.cpp","260","CDiskFileLoader::Open","_wfopen","C - Filesystem / Paths","disk fallback opens a converted wide path directly","use platform open/read while preserving pack fallback and INT_MAX rejection","PlatformFilesystem","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/CRC32.cpp","128","GetHFILECRC32 / GetFileCRC32","CreateFileW; CreateFileMapping; MapViewOfFile; GetFileSize","C - Filesystem / Paths","checksum helper owns native file and mapping APIs","keep optimized mapping inside Windows implementation; neutral callers use paths/bytes","PlatformFilesystem / Windows","partial","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Utils.cpp","15","CreateTempFileName","GetTempPathW; GetTempFileNameW","C - Filesystem / Paths","temporary path generation is Win32-specific","expose temp/writable path through filesystem service","PlatformFilesystem / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Utils.cpp","437","FileExists / CreateDirectory / DeleteDirectory","_access; CreateDirectoryW; DeleteFileW","C - Filesystem / Paths","path normalization and recursive directory operations mix separators and Win32 calls","centralize normalize/join/exists/create/delete; preserve pack lookup semantics","PlatformFilesystem / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Utils.cpp","615","GetExePath","GetModuleFileNameW","C - Filesystem / Paths","application directory is obtained directly from Win32","provide AppDirectory helper","PlatformFilesystem / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/UserInterface.cpp","61","PackInitialize","_access; relative pack path; separator-neutral std::format","C - Filesystem / Paths","asset packs are located relative to the current working directory","retain exact relative pack contract but perform existence/join through platform helper","PlatformFilesystem / pack boundary","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonSystem.cpp","379","CPythonSystem config load/save","fopen config/metin2.cfg; config/interface.cfg","C - Filesystem / Paths","writable configuration uses CWD-relative paths","route to documented writable/config directory while keeping Windows location unchanged in C2-X","PlatformFilesystem writable/config","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Debug.cpp","154","log initialization","fopen log/log.txt; filesystem create_directory; packetdump/pdlog/syserr","I - Debug / Diagnostics","logs use CWD-relative writable paths","centralize log directory path; keep minimal startup/error logs and explicit diagnostics policy","PlatformFilesystem writable/log","partial","9aa71a2674e271becd586743ab02019a68900348"
"src/EterImageLib/ScreenshotJPEG.cpp","6","SaveScreenshotJPEG","_wfopen","C - Filesystem / Paths","screenshot writer accepts a Windows wide path and opens it directly","keep encoder neutral and open through screenshot/writable path service","PlatformFilesystem screenshot","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplicationWebPage.cpp","30","WebView temp data path","std::filesystem::temp_directory_path","J - bewusst Windows-only Feature","WebView2 chooses a process temp directory itself","keep feature Windows-only and obtain its writable/cache root through platform service","UserInterface/Windows/WebView2","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/MovieMan.cpp","383","CMovieMan current directory","GetCurrentDirectoryW","J - bewusst Windows-only Feature","DirectShow movie loader assumes process current directory","move the implementation to the Windows-only video feature boundary and intentionally retain its existing CWD lookup","UserInterface/Windows/Video","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Timer.cpp","15","ELTimer_Init / ELTimer_GetMSec","QueryPerformanceFrequency; QueryPerformanceCounter; timeGetTime","D - Time / Sleep","central timer already concentrates clock APIs but exposes Win32 types and ultimately uses timeGetTime","implement monotonic Now through PlatformTime and preserve current millisecond behavior","PlatformTime / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplication.cpp","569","CPythonApplication frame pacing","Sleep","D - Time / Sleep","main loop sleeps directly with Win32","call PlatformTime::Sleep without changing pacing","PlatformTime","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/UserInterface.cpp","159","PackInitialize timing / random seed","GetTickCount","D - Time / Sleep","startup timing and seed use Win32 ticks directly","use platform monotonic tick; preserve seed composition","PlatformTime","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/FileLoaderThread.cpp","87","CFileLoaderThread delay","Sleep","D - Time / Sleep","loader loop sleeps directly with Win32","use PlatformTime::Sleep","PlatformTime","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/ResourceManager.cpp","34","resource loader delay","Sleep","D - Time / Sleep","resource manager sleeps directly with Win32","use PlatformTime::Sleep","PlatformTime","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/Thread.cpp","11","CThread::Create","_beginthreadex; HANDLE","E - Threads / Synchronisation","legacy thread wrapper stores a native handle","prefer std::thread where low risk or hide HANDLE in Windows implementation","Platform threading boundary","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/Mutex.cpp","4","CMutex","CRITICAL_SECTION lifecycle/lock/unlock","E - Threads / Synchronisation","generic mutex wrapper is Win32-only","replace implementation with std::mutex if behavior remains identical","standard C++ synchronization","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/ProcessScanner.cpp","8","process scanner lifecycle","CRITICAL_SECTION; CreateEvent; WaitForSingleObject; _beginthread","J - bewusst Windows-only Feature","process inspection/anti-cheat helper owns Windows events, synchronization and thread","keep explicitly Windows-only; do not force into generic platform services","UserInterface/Windows/ProcessScanner","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/NetDevice.cpp","17","CNetworkDevice lifecycle","WSAStartup; WSACleanup","F - Networking","Winsock process initialization is in generic network class","wrap nested startup/cleanup with neutral RAII service","PlatformNetworking / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/NetStream.h","98","CNetworkStream socket storage","SOCKET","F - Networking","public network class stores Winsock-native socket type","hide behind neutral native socket alias/wrapper","PlatformNetworking / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/NetStream.cpp","46","CNetworkStream receive/send/connect","recv; send; select; socket; ioctlsocket; closesocket; WSAGetLastError","F - Networking","netcode directly uses Winsock calls throughout transport implementation","do not redesign protocol; confine native socket operations and error translation","PlatformNetworking / Windows","partial","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/error.cpp","157","crash/error sender","SOCKET; socket; ioctlsocket; connect; send; closesocket","F - Networking","the complete legacy diagnostic sender block is commented out and has no runtime effect","retain the commented legacy block in C2-X; exclude it from claims about active networking behavior","PlatformNetworking / diagnostics","retained-commented","9aa71a2674e271becd586743ab02019a68900348"
"src/Discord/connection_win.cpp","16","Discord IPC connection","HANDLE; CreateFileW; ReadFile; WriteFile; named pipe","J - bewusst Windows-only Feature","Discord's existing platform-specific source is already Windows-named but is always added by CMake","keep as Windows-only target source and select conditionally","Discord Windows feature boundary","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/IME.cpp","328","CIME Imm32 loading","LoadLibraryW; GetProcAddress; FreeLibrary","G - Dynamic Libraries","IME dynamically loads Imm32 exports in generic EterLib","wrap library/symbol lifetime or move whole IME implementation to Windows feature boundary","PlatformDynamicLibrary / Windows IME","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/IME.cpp","1613","CIME current IME loading","LoadLibraryW; GetProcAddress","G - Dynamic Libraries","language-specific IME DLL is loaded directly","use same platform dynamic-library wrapper; preserve optional-symbol behavior","PlatformDynamicLibrary / Windows IME","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/Discord/discord_register_win.cpp","58","Discord protocol/Steam registration","RegCreateKeyExW; RegSetValueExW; RegOpenKeyExW; RegQueryValueExW; PSAPI","J - bewusst Windows-only Feature","Windows registration helper uses registry and process APIs","keep explicitly Windows-only and conditionally compiled","Discord Windows feature boundary","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/IME.cpp","1567","CIME keyboard mapping","RegOpenKeyExW; RegQueryValueExW","H - Cursor / Clipboard / Shell","IME reads Windows keyboard-layout registry data","keep inside Windows IME backend; no generic registry abstraction required","Windows IME feature boundary","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplicationWebPage.cpp","15","embedded web page","ICoreWebView2 family; SHGetFolderPath include","J - bewusst Windows-only Feature","WebView2 implementation is concentrated in one source but linked unconditionally and sits in generic UserInterface folder","move/select as Windows-only feature; core only calls a narrow feature interface","UserInterface/Windows/WebView2","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/MovieMan.cpp","130","CMovieMan playback","DirectShow; DirectDraw; COM; PeekMessage; HWND","J - bewusst Windows-only Feature","video playback is an extensive Windows-only subsystem and directly drains key/mouse messages","move behind explicit Windows video feature boundary; do not replace in C2-X","UserInterface/Windows/Video","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Debug.cpp","72","debug output","OutputDebugStringW; console APIs; MessageBoxW","I - Debug / Diagnostics","debug/log subsystem performs Windows diagnostics and UI directly","retain Windows diagnostics behind narrow service; avoid leaking HWND from header","Platform diagnostics / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/error.cpp","42","fatal error stack capture","DbgHelp StackWalk64; module/process/thread handles","I - Debug / Diagnostics","crash reporter is intrinsically Windows x64","keep explicitly Windows-only and outside neutral core headers","Diagnostics/Windows","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/ProcessCRC.cpp","27","module CRC audit","CreateToolhelp32Snapshot; HANDLE","I - Debug / Diagnostics","module inspection is Windows-specific","keep behind Windows diagnostics/security feature boundary","UserInterface/Windows/Diagnostics","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/ProcessScanner.cpp","21","process/module scanner","CreateToolhelp32Snapshot; OpenProcess; Module32First/Next","J - bewusst Windows-only Feature","process scanner is Windows-only product behavior","condition source and links on WIN32; no cross-platform substitute in C2-X","UserInterface/Windows/ProcessScanner","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/UserInterface.cpp","11","Windows command-line parsing at entry","shellapi.h; CommandLineToArgvW; shell32 link","H - Cursor / Clipboard / Shell","parses both renderer and client command lines in the Windows entry shim","retain as a used Windows entry-point dependency; keep it outside neutral platform headers","Windows entry shim","retained-interop","9aa71a2674e271becd586743ab02019a68900348"
