"path","line","category","text"
"tests\Renderer\audit_d3d9.ps1","5","E: test/tool guard, fixture or historical audit (not normal client)","$api='\b(?:IDirect3D\w*9(?:Ex)?|LPDIRECT3D\w*9(?:EX)?|D3DX\w*(?:Texture|Surface|Mesh|Shader)\w*|DrawPrimitive(?:UP)?|DrawIndexedPrimitive(?:UP)?|DrawSubset|(?:Set|Get|Save|Restore)(?:FVF|VertexDeclaration|VertexShader(?:ConstantF?)?|PixelShader(?:ConstantF?)?|Texture(?:StageState)?|RenderState|SamplerState|Transform|StreamSource|Indices|Material|Light|Viewport|ScissorRect)|LightEnable|GetLightEnable|CreateVertexBuffer|CreateIndexBuffer|CreateTexture|CreateRenderTarget|CreateDepthStencilSurface|CreateVertexShader|CreatePixelShader|SetRenderTarget|GetRenderTarget|SetDepthStencilSurface|GetDepthStencilSurface|GetBackBuffer|StretchRect|ColorFill|CreateStateBlock|SetGammaRamp|BeginScene|EndScene|PresentEx|ResetEx)\b'"
"tests\Renderer\audit_d3d9.ps1","6","E: test/tool guard, fixture or historical audit (not normal client)","# Explicit indirect consumers/gates: these can hide a visible path without spelling a D3D9 API."
"tests\Renderer\audit_d3d9.ps1","19","E: test/tool guard, fixture or historical audit (not normal client)","@('src/EterLib/','application/map/image/model -> native device, buffers, image/texture owners and transforms','M1-M11 bridges; D3D9 resource/bootstrap dependency retained'),"
"tests\Renderer\audit_d3d9.ps1","68","E: test/tool guard, fixture or historical audit (not normal client)","elseif($relative -match '/Renderer/') { $category='G'; $reachable='renderer implementation or interface; same API name need not mean D3D9'; $chain='renderer interface -> Diligent D3D11'; $alternative='this IS the Diligent implementation'; $action='Do not count D3D11 name collisions as D3D9 calls' }"
"tests\Renderer\audit_d3d9.ps1","85","E: test/tool guard, fixture or historical audit (not normal client)","elseif($relative -match 'CollisionData' -or $class -match 'CD3DXMeshRenderingOption' -or $function -match '(Collision|WireFrame|Wireframe|RenderD3DXMesh|RenderCube|RenderSphere|RenderCylinder|Granny_RenderBoxBones|RenderAmbience|CD3DXMeshRenderingOption)') {"
"tests\Renderer\AuditResources.ps1","35","E: test/tool guard, fixture or historical audit (not normal client)","$types = 'IDirect3D(?:BaseTexture|CubeTexture|VolumeTexture|Texture|VertexBuffer|IndexBuffer|Surface|Query|StateBlock|VertexDeclaration|VertexShader|PixelShader)9|LPDIRECT3D(?:BASETEXTURE|CUBETEXTURE|VOLUMETEXTURE|TEXTURE|VERTEXBUFFER|INDEXBUFFER|SURFACE|QUERY|STATEBLOCK|VERTEXDECLARATION|VERTEXSHADER|PIXELSHADER)9|LPD3DXMESH|ID3DXMesh'"
"tests\Renderer\AuditResources.ps1","36","E: test/tool guard, fixture or historical audit (not normal client)","$calls = 'Create(?:Texture|CubeTexture|VolumeTexture|VertexBuffer|IndexBuffer|VertexDeclaration|VertexShader|PixelShader|RenderTarget|DepthStencilSurface|OffscreenPlainSurface|Query|StateBlock)\(|D3DXCreate(?:Sphere|Cylinder|Mesh|\w*Texture)|GetD3DTexture\(|GetD3DVertexBuffer\(|GetD3DIndexBuffer\('"
"tests\Renderer\AuditResources.ps1","63","E: test/tool guard, fixture or historical audit (not normal client)","$creation = '->\s*Create(?:Texture|CubeTexture|VolumeTexture|VertexBuffer|IndexBuffer|VertexDeclaration|VertexShader|PixelShader|RenderTarget|DepthStencilSurface|OffscreenPlainSurface|Query|StateBlock)\s*\(|\bD3DXCreate(?:Sphere|Cylinder|Mesh\w*|\w*Texture\w*)\s*\('"
"tests\Renderer\AuditResources.ps1","72","E: test/tool guard, fixture or historical audit (not normal client)","""Guarded native resource creation sites: $($sites.Count). Device implicit surfaces and D3DX helper internals are reported separately."""
"tests\Renderer\AuditGraphicsDependencies.ps1","1","E: test/tool guard, fixture or historical audit (not normal client)","# ZiiNAN: Removed final D3D9 compile-time dependency. Read-only build/import audit."
"tests\Renderer\AuditGraphicsDependencies.ps1","24","E: test/tool guard, fixture or historical audit (not normal client)","if($dll -match '^d3d9\.dll$|^d3dx9.*\.dll$') { throw ""Required obsolete graphics import: $file -> $dll"" }"
"tests\Renderer\AuditGraphicsDependencies.ps1","40","E: test/tool guard, fixture or historical audit (not normal client)","if($line -match '\\(?:d3d9[a-zA-Z0-9_]*|d3dx9[a-zA-Z0-9_]*)\.h$') { $headerHits.Add([pscustomobject]@{unit=$unit;header=$line}) }"
"tests\Renderer\AuditGraphicsDependencies.ps1","47","E: test/tool guard, fixture or historical audit (not normal client)","if($commands -match '(?i)(?:d3d9|d3dx9[^\\\s""]*)\.lib') { throw 'Forbidden library in actual link command.' }"
"tests\Renderer\AuditGraphicsDependencies.ps1","54","E: test/tool guard, fixture or historical audit (not normal client)","""D3D9HeaderDependencies=$($headerHits.Count)"""
"tests\Renderer\AuditGraphicsDependencies.ps1","55","E: test/tool guard, fixture or historical audit (not normal client)","""D3D9LinkLibraries=0"""
"tests\Renderer\AuditGraphicsDependencies.ps1","56","E: test/tool guard, fixture or historical audit (not normal client)","""D3D9RequiredImports=0"""
"tests\Renderer\AuditGraphicsDependencies.ps1","58","E: test/tool guard, fixture or historical audit (not normal client)","""DirectDraw/DirectInput/DirectShow are independent retained input/video components, not D3D9."""
"tests\Renderer\AuditGraphicsDependencies.ps1","60","E: test/tool guard, fixture or historical audit (not normal client)","""Older Windows video-interface headers (not D3D9 SDK):"""
"tests\Renderer\ActorGpuAdapter.h","2","E: test/tool guard, fixture or historical audit (not normal client)","// ZiiNAN: Run the native D3D9 reference cases through the real dynamic actor owner."
"docs\renderer-milestone9.md","3","Documentation: history or current removal/dependency explanation","> Historischer Milestone-Stand. Aktuell seit [M12](renderer-milestone12.md): Diligent D3D11 ist im ON-Build der Default; Legacy wird explizit mit `--renderer=legacy-d3d9` gewählt. OFF-Builds bleiben Legacy-only. Frühere Testergebnisse und Auswahlbeschreibungen unten gelten für ihren damaligen Stand."
"docs\renderer-milestone9.md","43","Documentation: history or current removal/dependency explanation","| 6 | Ortho | Originale Device-Matrizen; `D3DXMatrixOrthoOffCenterRH(0,width,height,0,0,zres)`, Ursprung links oben. |"
"docs\renderer-milestone9.md","105","Documentation: history or current removal/dependency explanation","`gpu-ui-winding.log`: 32/32 native UI-Pixelvergleiche, Mean RGB 0, Channel-/Depth-Errors 0; alle bisherigen Welt-GPU-Vergleiche ebenfalls erfolgreich. `captures/ui-case*-d3d9.bmp`/`d3d11.bmp` dokumentieren die Pixelorakel. Die Sichtprüfung der Originalfenster erfolgte zusätzlich per Computer-Use-Skill; UI-Eingaben ohne bestätigtes Runtime-Ereignis werden nicht als erfolgreich gezählt."
"docs\renderer-milestone9-analysis.md","3","Documentation: history or current removal/dependency explanation","> Historischer Milestone-Stand. Aktuell seit [M12](renderer-milestone12.md): Diligent D3D11 ist im ON-Build der Default; Legacy wird explizit mit `--renderer=legacy-d3d9` gewählt. OFF-Builds bleiben Legacy-only. Frühere Testergebnisse und Auswahlbeschreibungen unten gelten für ihren damaligen Stand."
"docs\renderer-milestone9-analysis.md","5","Documentation: history or current removal/dependency explanation","Basis: `618d75f` (M8), Source-Worktree sauber. D3D9Ex bleibt Default; keine Python-/Asset-/Layoutänderung. M8-Restpfade (Gildenprojektion, DungeonBlock, Actor-Kategorien) bleiben außerhalb M9."
"docs\renderer-milestone9-analysis.md","9","Documentation: history or current removal/dependency explanation","`CPythonApplication::Process → Legacy BeginFrame → TerrainPresentation::BeginFrame → CPythonGraphic::SetInterfaceRenderState → OnUIRender → CWindowManager::Render → Root/Layer/CWindow::Render → OnRender → C++-Primitive bzw. Python OnRender → grp/grpImage/wndMgr → C++-Primitive → ursprünglicher D3D9-Draw`."
"docs\renderer-milestone9-analysis.md","13","Documentation: history or current removal/dependency explanation","Die bisherige Diligent-Kindoberfläche wird nur bei `HasTerrain` präsentiert. M9 muss dieselbe Oberfläche auch für Login/Loading/UI präsentieren, ohne Eingabe vom vorhandenen Parent-Fenster zu übernehmen. Text wird im Diligent-Bild bewusst ausgelassen, nicht aus D3D9 kopiert."
"docs\renderer-milestone9-analysis.md","51","Documentation: history or current removal/dependency explanation","16. Sampler: SetInterfaceRenderState fordert MIN/MAG/MIP NONE an; D3D9 kann ungültige Filterwerte ablehnen. Deshalb tatsächlichen Devicezustand erfassen, nicht den angeforderten Cachewert raten. Address/Filter/Mips bei jedem Draw vollständig binden."
"docs\renderer-milestone9-analysis.md","65","Documentation: history or current removal/dependency explanation","30. Projektion: CGraphicBase::SetOrtho2D → D3DXMatrixOrthoOffCenterRH(0,width,height,0,0,zres); tatsächliche World/View/Projection übernehmen."
"docs\renderer-milestone8-results.md","3","Documentation: history or current removal/dependency explanation","> Historischer Milestone-Stand. Aktuell seit [M12](renderer-milestone12.md): Diligent D3D11 ist im ON-Build der Default; Legacy wird explizit mit `--renderer=legacy-d3d9` gewählt. OFF-Builds bleiben Legacy-only. Frühere Testergebnisse und Auswahlbeschreibungen unten gelten für ihren damaligen Stand."
"docs\renderer-milestone8-results.md","5","Documentation: history or current removal/dependency explanation","Stand: 12.09.2026. Implementiert sind Originalwasser, Sky/Clouds und starre diffuse Ground-Item-Modelle. D3D9Ex bleibt Default; Diligent ist weiterhin ausschließlich Start-Opt-in. **Normale Legacy- und Diligent-Ingame-Abnahme sowie Minimize/Restore sind vom Benutzer bestätigt; alle vier finalen isolierten/normalen Clients endeten mit Exit 0.** Keine vollständige Welt-/Assetfreigabe wegen der unten dokumentierten C-Restpfade. Kein M9 begonnen."
"docs\renderer-milestone8-results.md","11","Documentation: history or current removal/dependency explanation","1. **Vor M8 fehlend:** Water, Sky/Clouds, Ground-Items, Gildenboden-Projektion, DungeonBlock-PNT2 sowie Lens-/Screen-Overlay-Pfade. Bereits migrierte Systeme führen ihre ursprünglichen D3D9-Draws weiterhin aus; diese sind keine neue Migrationslücke."
"docs\renderer-milestone8-results.md","12","Documentation: history or current removal/dependency explanation","2. **Wasser-Call-Chain:** `CPythonApplication::RenderGame → CPythonBackground::RenderWater → CMapOutdoor::RenderWater → DrawWater → ursprünglicher D3D9-Draw → WorldRenderBridge::Submit → DiligentWorldRenderer → getesteter Fixed-Function-Binder`. Geometrie kommt aus `_CalculateTerrainPatch → CTerrainPatch::BuildWaterVertexBuffer`."
"docs\renderer-milestone8-results.md","18","Documentation: history or current removal/dependency explanation","8. **Texturen:** originale `special/water/01.dds` bis `30.dds`; 256×256, DXT1/BC1, sechs vorhandene Mipstufen. Upload über den vorhandenen StaticObject-/TerrainTextureLoader, kein neuer Decoder und keine Miperzeugung. 30 Originalframes wurden separat gegen D3D9 verglichen."
"docs\renderer-milestone8-results.md","25","Documentation: history or current removal/dependency explanation","15. **Fog/Lighting:** vorhandene Vertex-Fog-Modi einschließlich Range-Fog. Originalmaps nutzen in den erfassten Wasser-Draws EXP. Im fernen NULL-Textur-Pfad benötigt der native no-normal FVF noch Ambient/Emissive/Diffuse-Alpha: gezielte read-only Auswertung der tatsächlichen Materialquellen und aktivierten Lichter, ohne Lichtsimulation zu verändern. Fehlendes COLOR2 fällt wie D3D9 auf das Material zurück. Acht zusätzliche Licht-/Materialquellenfälle prüfen dies. Keine neue atmosphärische Beleuchtung."
"docs\renderer-milestone8-results.md","31","Documentation: history or current removal/dependency explanation","21. **Verbleibende D3D9-World-Draws:** siehe vollständige A–D-Restliste unten. HTP und STP besitzen bereits gemeinsame `SubmitTerrainSplat/SubmitTerrainGeometry`-Hooks; M8 erzwingt keinen Terrainmodus. Native World-Draws werden noch nicht entfernt."
"docs\renderer-milestone8-results.md","69","Documentation: history or current removal/dependency explanation","- `gpu-original-final.log`, `gpu-original-restored.log`, `captures/world-case30-d3d9.bmp` bis `world-case59-d3d11.bmp`, `captures/world-depth-d3d9.bmp` / `world-depth-d3d11.bmp`"
"docs\renderer-milestone8-analysis.md","3","Documentation: history or current removal/dependency explanation","> Historischer Milestone-Stand. Aktuell seit [M12](renderer-milestone12.md): Diligent D3D11 ist im ON-Build der Default; Legacy wird explizit mit `--renderer=legacy-d3d9` gewählt. OFF-Builds bleiben Legacy-only. Frühere Testergebnisse und Auswahlbeschreibungen unten gelten für ihren damaligen Stand."
"docs\renderer-milestone8-analysis.md","5","Documentation: history or current removal/dependency explanation","Ausgangsstand: `1173df5` (M7), Source-Worktree sauber. Legacy D3D9Ex bleibt Default. Native Draws bleiben bestehen; die Diligent-Welt ist weiterhin eine eigene Oberfläche ohne UI-Komposition."
"docs\renderer-milestone8-analysis.md","11","Documentation: history or current removal/dependency explanation","| Pfad / zentrale Datei | Normales Spiel | Nativer D3D9-Draw | Diligent vor M8 | M8 / Einordnung |"
"docs\renderer-milestone8-analysis.md","59","Documentation: history or current removal/dependency explanation","22. Lighting ist geerbt, keine Normalen im Water-FVF. RGB der nahen Fläche SELECTARG1 TEXTURE, Alpha SELECTARG1 DIFFUSE bei DIFFUSEMATERIALSOURCE COLOR1 und COLORVERTEX TRUE. Fern-/NULL-Textur-Fallback gegen natives D3D9 prüfen."
"docs\renderer-milestone8-analysis.md","78","Documentation: history or current removal/dependency explanation","- `tests/Renderer`: native D3D9-Pixelorakel für Wasser/Fog/Alpha/Depth/Clouds, State-Isolation, Texture-Frames/Lifetime und private Originalmap-Fixtures. Normalstart/Originalpakete unverändert lassen."
"docs\renderer-milestone7-results.md","3","Documentation: history or current removal/dependency explanation","> Historischer Milestone-Stand. Aktuell seit [M12](renderer-milestone12.md): Diligent D3D11 ist im ON-Build der Default; Legacy wird explizit mit `--renderer=legacy-d3d9` gewählt. OFF-Builds bleiben Legacy-only. Frühere Testergebnisse und Auswahlbeschreibungen unten gelten für ihren damaligen Stand."
"docs\renderer-milestone7-results.md","9","Documentation: history or current removal/dependency explanation","Die normale EffectLib-/Particle-/Mesh-Submission, Waffen- und Flugtrails sowie der bestehende Snow-Quad-Pfad werden im vorhandenen Diligent-Weltbild gezeichnet. Native Simulation, Datenparser, Billboard-Berechnung, Sortierung, Actor-/Bone-Bindung und Lebensdauer bleiben unverändert. D3D9Ex bleibt Default; Auswahl weiterhin nur beim Start mit `--renderer=diligent-d3d11`."
"docs\renderer-milestone7-results.md","15","Documentation: history or current removal/dependency explanation","1. **Effect-System:** keine neue Engine. `EffectRenderScope` markiert ausschließlich die vorhandenen Welt-Draws. `EffectRenderBridge` nimmt einen synchronen Snapshot der tatsächlich wirksamen D3D9-Zustände und der gerade erzeugten CPU-Vertices auf. `DiligentEffectRenderer` zeichnet auf das vorhandene Diligent-Farb-/Depth-Ziel."
"docs\renderer-milestone7-results.md","17","Documentation: history or current removal/dependency explanation","3. **Effect-Call-Chain:** `CPythonApplication::RenderGame` → `CEffectManager::Render` beziehungsweise `CArea::RenderEffect` → `CEffectInstance::OnRender` → Particle/Mesh-Komponente → Bridge → Diligent. Die nativen Draws bleiben an derselben Stelle erhalten; die nicht sichtbare D3D9-Welt wird nicht entfernt."
"docs\renderer-milestone7-results.md","23","Documentation: history or current removal/dependency explanation","9. **DrawPrimitiveUP-Ersatz auf Diligent-Seite:** ein dynamischer VB und normaler Diligent-Draw. Der Original-D3D9-Aufruf wird weiter ausgeführt, einschließlich seines HRESULT; native abgelehnte Draws werden nicht zusätzlich gezeichnet. Kein globaler Umbau von CStateManager."
"docs\renderer-milestone7-results.md","27","Documentation: history or current removal/dependency explanation","13. **UV:** native UVs unverändert; TextureTransform und Koordinatenmodus werden pro Draw erfasst. Ein GPU-Test hat die D3D9-Erweiterung von Float2-UVs zu `(u,v,1,0)` belegt; diese wird übernommen. Keine neue Scroll-/Animationsfunktion."
"docs\renderer-milestone7-results.md","28","Documentation: history or current removal/dependency explanation","14. **Blend:** explizite Src/Dst-Faktoren, BlendEnable und BlendOp; RGB/Alpha getrennt korrekt abgeleitet. Alpha, Additiv, Farb-/Alpha-Faktoren und vorhandene historische BOTH-Werte durch native Readbacks geprüft. `Src=12/13` überschreibt beide Faktoren entsprechend D3D9. Der tatsächlich vorhandene `Dest=13` in `magmabublea.mse` entspricht auf dem geprüften D3D9-Treiber InvSrcAlpha, ohne Src zu überschreiben; drei permanente native Vergleichsfälle sichern dies ab. Bei einem nativen X8-Ziel wird dessen implizites Zielalpha 1 berücksichtigt."
"docs\renderer-milestone7-results.md","29","Documentation: history or current removal/dependency explanation","15. **Alpha-Test:** Enable, Ref 0–255 und alle acht Vergleichsfunktionen explizit. Keine frei gewählte Schwelle; Test gegen quantisiertes D3D9-Alpha. Acht native Vergleichsfälle."
"docs\renderer-milestone7-results.md","56","Documentation: history or current removal/dependency explanation","36. **Bekannte Sonderfälle:** native EffectData-Sortierung ist nicht global depth-sortiert; bestehende Transparenzartefakte werden nicht durch eine neue Engine verändert. Destination-13-Zuordnung ist durch den lokalen nativen Treiber belegt und permanent vergleichsgetestet, keine plattformübergreifende D3D9-Spezifikationsgarantie. Nicht migriert: dynamischer Light-only-Einfluss auf Diligent-Materialien, ScreenFilter/Snow-Blur, Wasser, UI/Fonts/Nameplates/Minimap/Schadenszahlen. Damage-Effectpfade werden explizit ausgefiltert. Keine GPU-Partikel, kein Bloom, kein neues Shadow-/Materialsystem. Kein einzelner IFL-Mesh-Assettest und keine Vollabdeckung aller Effektdateien. Im getesteten normalen Pfad keine Crash-/Assertion-/Effect-Devicefehler beobachtet."
"docs\renderer-milestone7-results.md","61","Documentation: history or current removal/dependency explanation","Während der Integration korrigiert und nachgeprüft: native Farbschreibmaske `0xffffffff` korrekt auf ihre vier wirksamen Kanalbits begrenzen; D3D9-UV-Erweiterung `(u,v,1,0)`; historische Destination-13-Zuordnung nach nativem Pixelvergleich. Keiner dieser Befunde erforderte eine Änderung an den Legacy-Materialsetzern oder Effektassets. Der abschließende Stress-Legacy-Vergleich (PID 64776) endete ebenfalls mit Exit 0 / 40,9 s."
"docs\renderer-milestone7-analysis.md","3","Documentation: history or current removal/dependency explanation","> Historischer Milestone-Stand. Aktuell seit [M12](renderer-milestone12.md): Diligent D3D11 ist im ON-Build der Default; Legacy wird explizit mit `--renderer=legacy-d3d9` gewählt. OFF-Builds bleiben Legacy-only. Frühere Testergebnisse und Auswahlbeschreibungen unten gelten für ihren damaligen Stand."
"docs\renderer-milestone7-analysis.md","16","Documentation: history or current removal/dependency explanation","| Snow | separates `CSnowEnvironment`, dynamischer D3D9-VB + IB, TriangleList | Alpha Blend, kein Depth Write | separater Geometriepfad prüfen; kein Blur/Postprocessing |"
"docs\renderer-milestone7-analysis.md","17","Documentation: history or current removal/dependency explanation","| Light | `CLightInstance` → `CLightManager`, keine eigenen Vertices | Registrierung/Update/Löschung von D3D9-Lichtern | Simulation beibehalten, kein neues Lichtsystem |"
"docs\renderer-milestone7-analysis.md","37","Documentation: history or current removal/dependency explanation","13. **CPU-Daten:** `CParticleInstance` hält Position/LastPosition/Velocity, HalfSize/Scale/Rotation, D3DXCOLOR und vier `TPTVertex`; `Transform` erzeugt finale Kamera-Vertices. EffectMesh hält pro Frame `PDTVertexVector` (trotz Namen tatsächlich TPTVertex). Trails halten Zeit-/Positionslisten und fertige PDT-Vertices."
"docs\renderer-milestone7-analysis.md","53","Documentation: history or current removal/dependency explanation","29. **Matrizen:** native D3DX Row-Vector-Matrizen, World → View → Projection, D3D-Tiefenbereich. Partikel/Trails bauen Weltvertices und setzen Identity. Mesh setzt eigene Billboard/Positionsmatrix × Effektmatrix. Y-Vorzeichen folgt ausschließlich dem Originalpfad. D3D9-Pixelzentren werden wie bei den bestehenden Diligent-Renderern berücksichtigt."
"docs\renderer-milestone7-analysis.md","79","Documentation: history or current removal/dependency explanation","Zuerst reine Zustands-/Topologieprüfungen und deterministischer D3D9/D3D11-Framebuffer-/Depth-Vergleich, inklusive Alpha- und Spezial-Blend, NULL-Textur, Materialreihenfolgen, Mips/Sampler und Bufferwachstum. Danach reale MSE/MDE/IFL-Instanzen, mehrere Skillklassen/World/Buff/Hit/Trails, Belastung und Spawn→End→Null-Texturressourcen. Anschließend private Clients mit Originalpaketen, A1→B1→A1, Resize/Minimize/Restore und beide normalen Ingame-Starts."
"docs\renderer-milestone6.md","3","Documentation: history or current removal/dependency explanation","> Historischer Milestone-Stand. Aktuell seit [M12](renderer-milestone12.md): Diligent D3D11 ist im ON-Build der Default; Legacy wird explizit mit `--renderer=legacy-d3d9` gewählt. OFF-Builds bleiben Legacy-only. Frühere Testergebnisse und Auswahlbeschreibungen unten gelten für ihren damaligen Stand."
"docs\renderer-milestone6.md","7","Documentation: history or current removal/dependency explanation","Ausgangspunkt: `288f4da` (M5D), sauberer Source-Checkout. Die [Analyse vor Produktionsänderungen](renderer-milestone6-analysis.md) enthält die 35 Architekturfragen, Komponentenmatrix und minimale Eingriffsliste. Kein anderer Renderer-Milestone wurde begonnen. Legacy D3D9Ex bleibt Startstandard; Diligent bleibt `--renderer=diligent-d3d11`."
"docs\renderer-milestone6.md","15","Documentation: history or current removal/dependency explanation","├─ unveränderte D3D9-Draws"
"docs\renderer-milestone6.md","20","Documentation: history or current removal/dependency explanation","Die Bridge übernimmt synchron die schon angewandten D3D9-Materialstates, nicht einen eigenen globalen Standardzustand. Der Renderer kennt keine SDK-Pointer. Modellgeometrie und Texturen gehören den vorhandenen Modell-/Instanzbesitzern; Instanzen teilen ihre Modellressourcen. Kameraabhängige Billboard-Vertices gehören der einzelnen Instanz. Keine neue Runtime, kein Instancing, keine Batch-, Culling- oder LOD-Neuentwicklung."
"docs\renderer-milestone6.md","41","Documentation: history or current removal/dependency explanation","| 6 | Leaves | Native Centers, UVs, Cluster/Corner und LOD-Scalar; sechs Vertices pro Blatt. Aktuelle bereits hochgeladene D3D9-Konstanten übernehmen; ursprünglichen VS1.1-Ausdruck und Clip-Z-Nebel reproduzieren. |"
"docs\renderer-milestone6.md","47","Documentation: history or current removal/dependency explanation","| 12 | Alpha-Test | Native `D3DCMP_GREATER`, tatsächlicher `DWORD(SDK AlphaRef)` pro Draw. Normal meist 84, keine fest erfundene Schwelle. D3D9-kompatible 8-Bit-Alpha-Auswertung; 84/127/255 und Maskenfälle im GPU-Test. |"
"docs\renderer-milestone6.md","73","Documentation: history or current removal/dependency explanation","Der Original-Leafshader schreibt nur `oT0`, nicht `oT1`. Ein an Stage1 gesetztes Fixed-Function-Camera-TCI erzeugt für diesen programmierbaren Shader keine neuen Blatt-UVs. Der native Vergleich auf diesem D3D9Ex-Treiber liefert dafür UV (0,0). Die erste Diligent-Fassung hatte Camera-UVs berechnet und bestand deshalb den verschärften Maskentest nicht. Sie verwendet jetzt den nachgewiesenen nativen Blattzustand. Vier Maskenfälle (Alpha am Ursprung 0/128/255/192, wechselnde Kamera, Point/Linear, Blend/DepthWrite) sichern ihn ab. **Keine Korrektur des Legacy-Shaders.**"
"docs\renderer-milestone6-analysis.md","3","Documentation: history or current removal/dependency explanation","> Historischer Milestone-Stand. Aktuell seit [M12](renderer-milestone12.md): Diligent D3D11 ist im ON-Build der Default; Legacy wird explizit mit `--renderer=legacy-d3d9` gewählt. OFF-Builds bleiben Legacy-only. Frühere Testergebnisse und Auswahlbeschreibungen unten gelten für ihren damaligen Stand."
"docs\renderer-milestone6-analysis.md","5","Documentation: history or current removal/dependency explanation","Baseline `288f4da` (5D), sauberer Source-Checkout. Ausschließlich vorhandene SpeedTree-Objekte in der bestehenden Diligent-Weltfläche. Legacy D3D9Ex bleibt Default. Keine Effekte, Wasser, UI, neue Vegetation, GPU-Optimierung oder Granny-/Skinningänderung."
"docs\renderer-milestone6-analysis.md","10","Documentation: history or current removal/dependency explanation","2. `src/UserInterface/CMakeLists.txt` linkt `SpeedTreeLib` (Clientwrapper) und `SpeedTree` (SDK). `src/SpeedTreeLib/CMakeLists.txt` sammelt die bestehenden Wrapper. D3D9/D3DX9-Abhängigkeiten liegen im Wrapper/Forest, nicht in der öffentlich sichtbaren `CSpeedTreeRT`-Geometrie-API."
"docs\renderer-milestone6-analysis.md","11","Documentation: history or current removal/dependency explanation","3. Klassen: `CSpeedTreeRT` als proprietäre Runtime; `CSpeedTreeWrapper : CGraphicObjectInstance` als Modell/Instanz; `CSpeedTreeForest` mit CRC→MainTree-Map; `CSpeedTreeForestDirectX` für die vorhandene D3D9-Ausgabe; `CMapManager` besitzt den Forest."
"docs\renderer-milestone6-analysis.md","14","Documentation: history or current removal/dependency explanation","6. `MakeInstance` ruft die SDK-Instanzierung auf und teilt Materialien, GeometryCache und native D3D9-Buffer mit dem MainTree. MainTree und Instanz halten derzeit gegenseitig shared_ptr; der vorhandene `DeleteInstance` entfernt die Instanz aus dem Parent. `CArea::__Clear`/ObjectInstance-Löschung → Forest.DeleteInstance, dann Map.Destroy → DestroyArea → Forest.Clear. Neue Ressourcen müssen denselben Besitz-/Abbaupfad verwenden, keine globale besitzende Instanzliste."
"docs\renderer-milestone6-analysis.md","16","Documentation: history or current removal/dependency explanation","8. Die Runtime liefert CPU-Pointer in `SGeometry`, keine D3D9-Buffer: Branches/Fronds als `SIndexed`, Leaves0/1 als `SLeaf`, Billboard0/1 und optional HorizontalBillboard als `SBillboard`. Der Client erstellt und befüllt seine Buffer selbst. Daher kein GPU-Readback oder Runtime-Ersatz nötig."
