ID;Alt;Neue Basis;Kategorie;Entscheidung;Hinweis;Maps;Quelle;2K Download
10;d:/ymir work/terrainmaps/b/grass/grass 03_05.dds;mossy_rock;Gras & Waldboden;Neuer Vorschlag;Für die steinigen Gras-/Wald-Layer: graue Steinanteile erhalten, nicht zu einer reinen Rasenfläche machen.;metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://polyhaven.com/a/mossy_rock;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/mossy_rock/mossy_rock_diff_2k.png
11;d:/ymir work/terrainmaps/bayblacksand/bayblacksand_grass.dds;leafy_grass;Gras & Waldboden;Neuer Vorschlag;"Bewuchsinseln bleiben getrennt; für Gras-/Erde-Übergänge statt einer geschlossenen Rasenfläche.";metin2_map_bayblacksand;https://polyhaven.com/a/leafy_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/leafy_grass/leafy_grass_diff_2k.png
12;d:/ymir work/terrainmaps/bayblacksand/bayblacksand_grass_00.dds;forrest_ground_01;Gras & Waldboden;Neuer Vorschlag;"Dezentes Waldgrün statt der bisherigen gelbgrünen Moosbasis; vor Einbau an die dunklere Kartenhelligkeit angleichen.";metin2_map_bayblacksand, metin2_map_dawnmistwood;https://polyhaven.com/a/forrest_ground_01;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forrest_ground_01/forrest_ground_01_diff_2k.png
13;d:/ymir work/terrainmaps/bayblacksand/bayblacksand_seagrass.dds;Rock057;Fels & Stein;Noch offen;Unterwasserbewuchs: dunkle, kühle Variante mit erkennbaren Wasserpflanzen ausarbeiten. Rock057 liefert nur die Stein-/Moosbasis.;metin2_map_bayblacksand;https://ambientcg.com/a/Rock057;https://ambientcg.com/get?file=Rock057_2K-PNG.zip
14;d:/ymir work/terrainmaps/capedragonhead/capedragon_grass001.dds;leafy_grass;Gras & Waldboden;Neuer Vorschlag;"Bewuchsinseln bleiben getrennt; für Gras-/Erde-Übergänge statt einer geschlossenen Rasenfläche.";metin2_map_capedragonhead;https://polyhaven.com/a/leafy_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/leafy_grass/leafy_grass_diff_2k.png
15;d:/ymir work/terrainmaps/capedragonhead/capedragon_grass002.dds;Grass001;Gras & Waldboden;Neuer Vorschlag;"Kühler und feiner als Grass004; keine braunen Übergänge damit überdecken.";metin2_map_capedragonhead;https://ambientcg.com/a/Grass001;https://ambientcg.com/get?file=Grass001_2K-PNG.zip
16;d:/ymir work/terrainmaps/capedragonhead/capedragon_grass003.dds;leafy_grass;Gras & Waldboden;Neuer Vorschlag;"Bewuchsinseln bleiben getrennt; für Gras-/Erde-Übergänge statt einer geschlossenen Rasenfläche.";metin2_map_bayblacksand, metin2_map_capedragonhead;https://polyhaven.com/a/leafy_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/leafy_grass/leafy_grass_diff_2k.png
17;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_grass001.dds;Grass002;Gras & Waldboden;Neuer Vorschlag;"Als eigene Struktur für üppige Flächen; Blattgröße beim Einbau prüfen.";metin2_map_dawnmistwood;https://ambientcg.com/a/Grass002;https://ambientcg.com/get?file=Grass002_2K-PNG.zip
18;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_grass002.dds;forest_ground_06;Gras & Waldboden;Neuer Vorschlag;"Das Original ist ein sehr dunkler Boden. Diese erdige Basis erhält den Bodentyp; die endgültige Helligkeit muss beim Einbau an die Karte angepasst werden.";metin2_map_dawnmistwood;https://polyhaven.com/a/forest_ground_06;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forest_ground_06/forest_ground_06_diff_2k.png
19;d:/ymir work/terrainmaps/dawnmistwood/dawnmistwood_grass003.dds;forest_ground_06;Gras & Waldboden;Neuer Vorschlag;"Das Original ist ein sehr dunkler Boden. Diese erdige Basis erhält den Bodentyp; die endgültige Helligkeit muss beim Einbau an die Karte angepasst werden.";metin2_map_dawnmistwood;https://polyhaven.com/a/forest_ground_06;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forest_ground_06/forest_ground_06_diff_2k.png
20;d:/ymir work/terrainmaps/dungeon/devilcave/dc_grass_00.dds;forest_ground_06;Gras & Waldboden;Neuer Vorschlag;"Das Original ist ein sehr dunkler Boden. Diese erdige Basis erhält den Bodentyp; die endgültige Helligkeit muss beim Einbau an die Karte angepasst werden.";metin2_map_devilscatacomb, metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://polyhaven.com/a/forest_ground_06;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forest_ground_06/forest_ground_06_diff_2k.png
21;d:/ymir work/terrainmaps/empirewar/desert/grass01.dds;withered_grass;Gras & Waldboden;Neuer Vorschlag;"Für warme Karten abdunkeln und ockerbraun abstimmen; die helle Quellfarbe ist noch unbearbeitet.";season2/metin2_map_empirewar03;https://polyhaven.com/a/withered_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/withered_grass/withered_grass_diff_2k.png
22;d:/ymir work/terrainmaps/empirewar/desert/grass02.dds;sparse_grass;Gras & Waldboden;Neuer Vorschlag;"Braun und Grün bleiben gemischt; passt zu trockenen Übergängen statt dichtem Rasen.";season2/metin2_map_empirewar03;https://polyhaven.com/a/sparse_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/sparse_grass/sparse_grass_diff_2k.png
23;d:/ymir work/terrainmaps/empirewar/grass01.dds;Grass001;Gras & Waldboden;Neuer Vorschlag;"Kühler und feiner als Grass004; keine braunen Übergänge damit überdecken.";season1/metin2_map_empirewar_a01;https://ambientcg.com/a/Grass001;https://ambientcg.com/get?file=Grass001_2K-PNG.zip
24;d:/ymir work/terrainmaps/empirewar/grass02.dds;Grass002;Gras & Waldboden;Neuer Vorschlag;"Als eigene Struktur für üppige Flächen; Blattgröße beim Einbau prüfen.";season1/metin2_map_empirewar_a01;https://ambientcg.com/a/Grass002;https://ambientcg.com/get?file=Grass002_2K-PNG.zip
25;d:/ymir work/terrainmaps/empirewar/snow/grass01.dds;Snow015;Schnee & Eis;Noch offen;An den freigegebenen dunkleren Grünton angleichen.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Snow015;https://ambientcg.com/get?file=Snow015_2K-PNG.zip
26;d:/ymir work/terrainmaps/empirewar/snow/grass02.dds;Snow015;Schnee & Eis;Noch offen;An den freigegebenen dunkleren Grünton angleichen.;season2/metin2_map_empirewar01;https://ambientcg.com/a/Snow015;https://ambientcg.com/get?file=Snow015_2K-PNG.zip
27;d:/ymir work/terrainmaps/empirewar/summer/grass01.dds;sparse_grass;Gras & Waldboden;Neuer Vorschlag;"Braun und Grün bleiben gemischt; passt zu trockenen Übergängen statt dichtem Rasen.";season2/metin2_map_empirewar02;https://polyhaven.com/a/sparse_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/sparse_grass/sparse_grass_diff_2k.png
28;d:/ymir work/terrainmaps/empirewar/summer/grass02.dds;Grass003;Gras & Waldboden;Neuer Vorschlag;"Trockener Grundton bleibt erkennbar; nicht auf das frische Grün von Grass004 angleichen.";season2/metin2_map_empirewar02;https://ambientcg.com/a/Grass003;https://ambientcg.com/get?file=Grass003_2K-PNG.zip
29;d:/ymir work/terrainmaps/g/field/grass 01.dds;Grass001;Gras & Waldboden;Neuer Vorschlag;"Kühler und feiner als Grass004; keine braunen Übergänge damit überdecken.";metin2_map_t2;https://ambientcg.com/a/Grass001;https://ambientcg.com/get?file=Grass001_2K-PNG.zip
30;d:/ymir work/terrainmaps/guild_village/guild_village_grass002.dds;leafy_grass;Gras & Waldboden;Neuer Vorschlag;"Bewuchsinseln bleiben getrennt; für Gras-/Erde-Übergänge statt einer geschlossenen Rasenfläche.";metin2_guild_village;https://polyhaven.com/a/leafy_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/leafy_grass/leafy_grass_diff_2k.png
31;d:/ymir work/terrainmaps/mtthunder/mtthunder_grass02.dds;sparse_grass;Gras & Waldboden;Neuer Vorschlag;"Braun und Grün bleiben gemischt; passt zu trockenen Übergängen statt dichtem Rasen.";metin2_map_mt_thunder;https://polyhaven.com/a/sparse_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/sparse_grass/sparse_grass_diff_2k.png
32;d:/ymir work/terrainmaps/mtthunder/mtthunder_grass03.dds;withered_grass;Gras & Waldboden;Neuer Vorschlag;"Für warme Karten abdunkeln und ockerbraun abstimmen; die helle Quellfarbe ist noch unbearbeitet.";metin2_map_mt_thunder;https://polyhaven.com/a/withered_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/withered_grass/withered_grass_diff_2k.png
33;d:/ymir work/terrainmaps/n/desert/grass/grass 01.dds;Grass003;Gras & Waldboden;Neuer Vorschlag;"Trockener Grundton bleibt erkennbar; nicht auf das frische Grün von Grass004 angleichen.";metin2_map_n_desert_01, season1/metin2_map_sungzi_desert_01, season1/metin2_map_sungzi_desert_hill_01, season1/metin2_map_sungzi_desert_hill_02, season1/metin2_map_sungzi_desert_hill_03, season2/metin2_map_n_desert_02;https://ambientcg.com/a/Grass003;https://ambientcg.com/get?file=Grass003_2K-PNG.zip
34;d:/ymir work/terrainmaps/n/desert/grass/grass 02.dds;Grass004;Gras & Waldboden;Grasbasis freigegeben;Die bereits freigegebene Farbkorrektur beibehalten.;metin2_map_n_desert_01, season1/metin2_map_sungzi_desert_01, season1/metin2_map_sungzi_desert_hill_01, season1/metin2_map_sungzi_desert_hill_02, season1/metin2_map_sungzi_desert_hill_03, season2/metin2_map_n_desert_02;https://ambientcg.com/a/Grass004;https://ambientcg.com/get?file=Grass004_2K-PNG.zip
35;d:/ymir work/terrainmaps/n/desert/grass/grass 03.dds;sparse_grass;Gras & Waldboden;Neuer Vorschlag;"Braun und Grün bleiben gemischt; passt zu trockenen Übergängen statt dichtem Rasen.";metin2_map_n_desert_01, season1/metin2_map_sungzi_desert_01, season1/metin2_map_sungzi_desert_hill_01, season1/metin2_map_sungzi_desert_hill_02, season1/metin2_map_sungzi_desert_hill_03, season2/metin2_map_n_desert_02;https://polyhaven.com/a/sparse_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/sparse_grass/sparse_grass_diff_2k.png
36;d:/ymir work/terrainmaps/trent/grass/grass 01.dds;Grass003;Gras & Waldboden;Neuer Vorschlag;"Trockener Grundton bleibt erkennbar; nicht auf das frische Grün von Grass004 angleichen.";metin2_map_trent, metin2_map_trent02, season2/metin2_map_trent02_a, season2/metin2_map_trent_a;https://ambientcg.com/a/Grass003;https://ambientcg.com/get?file=Grass003_2K-PNG.zip
37;d:/ymir work/terrainmaps/trent/grass/grass 02.dds;Grass001;Gras & Waldboden;Neuer Vorschlag;"Kühler und feiner als Grass004; keine braunen Übergänge damit überdecken.";metin2_map_trent, metin2_map_trent02, season2/metin2_map_trent02_a, season2/metin2_map_trent_a;https://ambientcg.com/a/Grass001;https://ambientcg.com/get?file=Grass001_2K-PNG.zip
38;d:/ymir work/terrainmaps/trent/grass/grass 03.dds;Grass002;Gras & Waldboden;Neuer Vorschlag;"Als eigene Struktur für üppige Flächen; Blattgröße beim Einbau prüfen.";metin2_map_trent, metin2_map_trent02, season2/metin2_map_trent02_a, season2/metin2_map_trent_a;https://ambientcg.com/a/Grass002;https://ambientcg.com/get?file=Grass002_2K-PNG.zip
39;d:/ymir work/terrainmaps/a/beach/beach sand 01.dds;Ground079L;Sand & Kies;Ausgewählt;Je nach Karte warmbeige oder dunkler abstimmen.;map_a2, metin2_map_guild_01, season2/metin2_map_a2_1;https://ambientcg.com/a/Ground079L;https://ambientcg.com/get?file=Ground079L_2K-PNG.zip
40;d:/ymir work/terrainmaps/a/beach/beach sand 02.dds;Ground079S;Sand & Kies;Ausgewählt;Als Übergang zwischen Erde und feinem Sand.;map_a2, metin2_map_guild_01, season1/metin2_map_nusluck01, season1/metin2_map_wl_01, season2/metin2_map_a2_1;https://ambientcg.com/a/Ground079S;https://ambientcg.com/get?file=Ground079S_2K-PNG.zip
41;d:/ymir work/terrainmaps/a/beach/beach sand 03.dds;Ground079L;Sand & Kies;Ausgewählt;Je nach Karte warmbeige oder dunkler abstimmen.;metin2_map_duel;https://ambientcg.com/a/Ground079L;https://ambientcg.com/get?file=Ground079L_2K-PNG.zip
42;d:/ymir work/terrainmaps/a/field/field 01.dds;Ground085;Erde & Wege;Ausgewählt;Warmbraune Grundfarbe und ruhige Details.;map_a2, metin2_map_guild_01, season2/metin2_map_a2_1;https://ambientcg.com/a/Ground085;https://ambientcg.com/get?file=Ground085_2K-PNG.zip
43;d:/ymir work/terrainmaps/a/field/field 02.dds;Ground103;Erde & Wege;Ausgewählt;Helligkeit an Grass004 angleichen.;map_a2, metin2_map_guild_01, season2/metin2_map_a2_1;https://ambientcg.com/a/Ground103;https://ambientcg.com/get?file=Ground103_2K-PNG.zip
44;d:/ymir work/terrainmaps/a/field/field 05.dds;forrest_ground_03;Gras & Waldboden;Neuer Vorschlag;"Feine Streu statt großer bunter Herbstblätter; für trockene Waldflächen und Übergänge.";season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01;https://polyhaven.com/a/forrest_ground_03;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/forrest_ground_03/forrest_ground_03_diff_2k.png
45;d:/ymir work/terrainmaps/a/stone/stone01.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;map_a2, metin2_map_guild_01, season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01, season2/metin2_map_a2_1;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
46;d:/ymir work/terrainmaps/a/stone/stone02.dds;Rock057;Fels & Stein;Noch offen;Unterwasserbewuchs benötigt eine eigene abgeleitete Farbvariante.;map_a2, metin2_map_guild_01, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season2/metin2_map_a2_1;https://ambientcg.com/a/Rock057;https://ambientcg.com/get?file=Rock057_2K-PNG.zip
47;d:/ymir work/terrainmaps/a/stone/stone04.dds;Rock057;Fels & Stein;Noch offen;Unterwasserbewuchs benötigt eine eigene abgeleitete Farbvariante.;season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01;https://ambientcg.com/a/Rock057;https://ambientcg.com/get?file=Rock057_2K-PNG.zip
48;d:/ymir work/terrainmaps/a/tile/tile01.dds;PavingStones141;Pflaster & Platten;Noch offen;Warmgrau statt stark orange abstimmen.;map_a2, metin2_map_guild_01, season1/metin2_map_oxevent, season2/metin2_map_a2_1;https://ambientcg.com/a/PavingStones141;https://ambientcg.com/get?file=PavingStones141_2K-PNG.zip
49;d:/ymir work/terrainmaps/a/tile/tile02.dds;PavingStones054;Pflaster & Platten;Noch offen;Nicht für intakte Dorfplätze verwenden.;map_a2, metin2_map_guild_01, season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01, season2/metin2_map_a2_1;https://ambientcg.com/a/PavingStones054;https://ambientcg.com/get?file=PavingStones054_2K-PNG.zip
50;d:/ymir work/terrainmaps/b/beach/beach sand 01.dds;Ground079L;Sand & Kies;Ausgewählt;Je nach Karte warmbeige oder dunkler abstimmen.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_sungzi;https://ambientcg.com/a/Ground079L;https://ambientcg.com/get?file=Ground079L_2K-PNG.zip
51;d:/ymir work/terrainmaps/b/beach/beach sand 02.dds;Ground079S;Sand & Kies;Ausgewählt;Als Übergang zwischen Erde und feinem Sand.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_sungzi;https://ambientcg.com/a/Ground079S;https://ambientcg.com/get?file=Ground079S_2K-PNG.zip
52;d:/ymir work/terrainmaps/b/beach/beach sand 03.dds;Ground079L;Sand & Kies;Ausgewählt;Je nach Karte warmbeige oder dunkler abstimmen.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Ground079L;https://ambientcg.com/get?file=Ground079L_2K-PNG.zip
53;d:/ymir work/terrainmaps/b/field/field 01.dds;Ground103;Erde & Wege;Ausgewählt;Helligkeit an Grass004 angleichen.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Ground103;https://ambientcg.com/get?file=Ground103_2K-PNG.zip
54;d:/ymir work/terrainmaps/b/field/field 01_01.dds;Ground085;Erde & Wege;Ausgewählt;Warmbraune Grundfarbe und ruhige Details.;gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01;https://ambientcg.com/a/Ground085;https://ambientcg.com/get?file=Ground085_2K-PNG.zip
55;d:/ymir work/terrainmaps/b/field/field 02.dds;Ground106;Erde & Wege;Ausgewählt;Steingröße im Spiel prüfen.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Ground106;https://ambientcg.com/get?file=Ground106_2K-PNG.zip
56;d:/ymir work/terrainmaps/b/field/field 02_01.dds;Ground103;Erde & Wege;Ausgewählt;Helligkeit an Grass004 angleichen.;gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01;https://ambientcg.com/a/Ground103;https://ambientcg.com/get?file=Ground103_2K-PNG.zip
57;d:/ymir work/terrainmaps/b/field/field 03.dds;Ground085;Erde & Wege;Ausgewählt;Warmbraune Grundfarbe und ruhige Details.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Ground085;https://ambientcg.com/get?file=Ground085_2K-PNG.zip
58;d:/ymir work/terrainmaps/b/field/field 03_01.dds;Ground106;Erde & Wege;Ausgewählt;Steingröße im Spiel prüfen.;gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01;https://ambientcg.com/a/Ground106;https://ambientcg.com/get?file=Ground106_2K-PNG.zip
59;d:/ymir work/terrainmaps/b/field/field 04.dds;Ground103;Erde & Wege;Ausgewählt;Helligkeit an Grass004 angleichen.;gm_guild_build, map_b_fielddungeon, metin2_map_a1, metin2_map_a3, metin2_map_b1, metin2_map_b3, metin2_map_c1, metin2_map_c3, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_wedding_01, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Ground103;https://ambientcg.com/get?file=Ground103_2K-PNG.zip
60;d:/ymir work/terrainmaps/b/field/field 04_02.dds;Ground085;Erde & Wege;Ausgewählt;Warmbraune Grundfarbe und ruhige Details.;metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Ground085;https://ambientcg.com/get?file=Ground085_2K-PNG.zip
61;d:/ymir work/terrainmaps/b/field/field 04_05.dds;Ground106;Erde & Wege;Ausgewählt;Steingröße im Spiel prüfen.;metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Ground106;https://ambientcg.com/get?file=Ground106_2K-PNG.zip
62;d:/ymir work/terrainmaps/b/stone/dc_rock_00.dds;Rock031;Fels & Stein;Ausgewählt;Dunkel halten, Details in Schatten prüfen.;metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Rock031;https://ambientcg.com/get?file=Rock031_2K-PNG.zip
63;d:/ymir work/terrainmaps/b/stone/stone01.dds;Rock030;Fels & Stein;Noch offen;Breite Strukturen erhalten, nicht zu fein kacheln.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_nusluck01, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi, season1/metin2_map_wl_01;https://ambientcg.com/a/Rock030;https://ambientcg.com/get?file=Rock030_2K-PNG.zip
64;d:/ymir work/terrainmaps/b/stone/stone01_01.dds;Rock051;Fels & Stein;Noch offen;Schichtungsrichtung passend zur vorhandenen Fläche.;gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01;https://ambientcg.com/a/Rock051;https://ambientcg.com/get?file=Rock051_2K-PNG.zip
