"File","Line","ClassFunction","GrannyTypeOrSymbol","Purpose","Category","MigrationD1X","ReferenceKind","Source"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","3","file scope","EterGrnLib","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","G","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","include","#include ""EterGrnLib/Deform.h"""
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","16","FileDeleter","granny_file;GrannyFreeFile","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","struct FileDeleter { void operator()(granny_file* file) const { if (file) GrannyFreeFile(file); } };"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","17","FileDeleter","granny_file","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","using FileOwner = std::unique_ptr<granny_file, FileDeleter>;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","19","FileDeleter","granny_data_type_definition","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_data_type_definition dualUVType[] = {"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","20","FileDeleter","GrannyReal32Member;GrannyVertexPositionName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","{GrannyReal32Member, GrannyVertexPositionName, nullptr, 3},"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","21","FileDeleter","GrannyReal32Member;GrannyVertexNormalName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","{GrannyReal32Member, GrannyVertexNormalName, nullptr, 3},"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","22","FileDeleter","GrannyReal32Member;GrannyVertexTextureCoordinatesName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","{GrannyReal32Member, GrannyVertexTextureCoordinatesName ""0"", nullptr, 2},"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","23","FileDeleter","GrannyReal32Member;GrannyVertexTextureCoordinatesName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","{GrannyReal32Member, GrannyVertexTextureCoordinatesName ""1"", nullptr, 2},"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","24","FileDeleter","GrannyEndMember","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","{GrannyEndMember}"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","26","FileDeleter","granny_data_type_definition","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_data_type_definition* NativeLayout(VertexLayout layout)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","29","FileDeleter","GrannyPNT332VertexType","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","case VertexLayout::PositionNormalUV: return GrannyPNT332VertexType;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","31","FileDeleter","GrannyPWNT3432VertexType","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","case VertexLayout::WeightedPositionNormalUV: return GrannyPWNT3432VertexType;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","35","FileDeleter","granny_data_type_definition","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","VertexLayout DescribeLayout(const granny_data_type_definition* type)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","40","FileDeleter","GrannyDataTypesAreEqualWithNames","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (GrannyDataTypesAreEqualWithNames(type, NativeLayout(layout))) return layout;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","43","FileDeleter::DescribeVertexAttributes","granny_data_type_definition","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","std::uint32_t DescribeVertexAttributes(const granny_data_type_definition* type)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","47","FileDeleter::DescribeVertexAttributes","GrannyEndMember","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","for (const auto* member = type; member->Type != GrannyEndMember; ++member) {"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","49","FileDeleter::DescribeVertexAttributes","GrannyVertexPositionName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (std::strcmp(member->Name, GrannyVertexPositionName) == 0) attributes |= Position;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","50","FileDeleter::DescribeVertexAttributes","GrannyVertexNormalName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","else if (std::strcmp(member->Name, GrannyVertexNormalName) == 0) attributes |= Normal;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","51","FileDeleter::DescribeVertexAttributes","GrannyVertexTextureCoordinatesName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","else if (std::strcmp(member->Name, GrannyVertexTextureCoordinatesName ""0"") == 0) attributes |= UV0;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","52","FileDeleter::DescribeVertexAttributes","GrannyVertexTextureCoordinatesName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","else if (std::strcmp(member->Name, GrannyVertexTextureCoordinatesName ""1"") == 0) attributes |= UV1;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","56","FileDeleter::DescribeVertexAttributes","granny_mesh","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","Bounds DescribeBounds(const granny_mesh& mesh)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","59","FileDeleter::DescribeVertexAttributes","GrannyGetMeshVertexType","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const auto* type = GrannyGetMeshVertexType(&mesh);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","60","FileDeleter::DescribeVertexAttributes","GrannyGetMeshVertices","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const auto* vertices = static_cast<const std::byte*>(GrannyGetMeshVertices(&mesh));"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","61","FileDeleter::DescribeVertexAttributes","GrannyGetMeshVertexCount","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const auto count = GrannyGetMeshVertexCount(&mesh);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","63","FileDeleter::DescribeVertexAttributes","GrannyGetTotalObjectSize","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const int stride = GrannyGetTotalObjectSize(type);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","66","FileDeleter::DescribeVertexAttributes","GrannyEndMember","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","for (const auto* member = type; member->Type != GrannyEndMember; ++member) {"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","67","FileDeleter::DescribeVertexAttributes","GrannyVertexPositionName","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (member->Name && std::strcmp(member->Name, GrannyVertexPositionName) == 0 &&"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","68","FileDeleter::DescribeVertexAttributes","GrannyReal32Member","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","member->Type == GrannyReal32Member && member->ArrayWidth == 3) {"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","72","FileDeleter::DescribeVertexAttributes","GrannyGetMemberTypeSize","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const int size = GrannyGetMemberTypeSize(member);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","97","FileDeleter::BlendName","granny_material","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","MaterialAsset DescribeMaterial(const granny_material* material)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","103","FileDeleter::BlendName","GrannyDiffuseColorTexture;GrannyGetMaterialTextureByType","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (const auto* texture = GrannyGetMaterialTextureByType(material, GrannyDiffuseColorTexture))"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","105","FileDeleter::BlendName","GrannyGetMaterialTextureByType;GrannyOpacityTexture","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (const auto* texture = GrannyGetMaterialTextureByType(material, GrannyOpacityTexture))"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","107","FileDeleter::BlendName","granny_texture","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_texture* diffuse = nullptr;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","108","FileDeleter::BlendName","granny_texture","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_texture* opacity = nullptr;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","111","FileDeleter::BlendName","GrannyDiffuseColorTexture;GrannyGetMaterialTextureByType","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","diffuse = GrannyGetMaterialTextureByType(material->Maps[0].Material, GrannyDiffuseColorTexture);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","113","FileDeleter::BlendName","GrannyDiffuseColorTexture;GrannyGetMaterialTextureByType","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","opacity = GrannyGetMaterialTextureByType(material->Maps[1].Material, GrannyDiffuseColorTexture);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","115","FileDeleter::BlendName","GrannyDiffuseColorTexture;GrannyGetMaterialTextureByType","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","diffuse = GrannyGetMaterialTextureByType(material, GrannyDiffuseColorTexture);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","116","FileDeleter::BlendName","GrannyGetMaterialTextureByType;GrannyOpacityTexture","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","opacity = GrannyGetMaterialTextureByType(material, GrannyOpacityTexture);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","122","FileDeleter::BlendName","granny_int32","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_int32 twoSided = 0;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","123","FileDeleter::BlendName","granny_data_type_definition;GrannyEndMember;GrannyInt32Member","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_data_type_definition fieldType[] = {{GrannyInt32Member, ""Two-sided""}, {GrannyEndMember}};"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","124","FileDeleter::BlendName","granny_variant","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_variant field{};"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","126","FileDeleter::BlendName","GrannyFindMatchingMember","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","GrannyFindMatchingMember(material->ExtendedData.Type, material->ExtendedData.Object, ""Two-sided"", &field) && field.Type)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","127","FileDeleter::BlendName","GrannyConvertSingleObject","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","GrannyConvertSingleObject(field.Type, field.Object, fieldType, &twoSided, nullptr);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","131","FileDeleter::BlendName","granny_skeleton","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","D","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","SkeletonAsset DescribeSkeleton(const granny_skeleton& skeleton)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","151","std::memcpy","granny_animation","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","E","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","AnimationAsset DescribeAnimation(const granny_animation& animation)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","164","GrannyDocument","GrannyDocument","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","class GrannyDocument final : public AssetDocument"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","167","GrannyDocument","granny_file_info;GrannyDocument","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","GrannyDocument(AssetId id, FileOwner file, granny_file_info* info)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","169","GrannyDocument","granny_model","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_model* Model(std::size_t index) const"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","173","GrannyDocument","granny_animation","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;E","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_animation* Animation(std::size_t index) const"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","177","GrannyDocument","granny_mesh","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","granny_mesh* Mesh(std::size_t model, std::size_t mesh) const"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","202","GrannyDocument::BuildMetadata","granny_material","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","C","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","std::vector<const granny_material*> materialPointers;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","210","GrannyDocument::BuildMetadata","GrannyGetMeshIndexCount;GrannyGetMeshVertexCount","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const int vertexCount = GrannyGetMeshVertexCount(native), indexCount = GrannyGetMeshIndexCount(native);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","211","GrannyDocument::BuildMetadata","GrannyGetMeshVertexType","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const auto* type = GrannyGetMeshVertexType(native);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","212","GrannyDocument::BuildMetadata","GrannyGetMeshVertices","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (vertexCount < 0 || indexCount < 0 || (vertexCount && (!type || !GrannyGetMeshVertices(native))) ||"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","213","GrannyDocument::BuildMetadata","GrannyGetMeshIndices","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","(indexCount && !GrannyGetMeshIndices(native))) return false;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","218","GrannyDocument::BuildMetadata","GrannyGetMeshBytesPerIndex","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const auto width = GrannyGetMeshBytesPerIndex(native);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","222","GrannyDocument::BuildMetadata","GrannyGetTotalObjectSize","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","mesh.sourceVertexStride = type ? static_cast<std::uint32_t>(GrannyGetTotalObjectSize(type)) : 0;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","223","GrannyDocument::BuildMetadata","GrannyMeshIsRigid","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const bool isRigid = GrannyMeshIsRigid(native);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","238","GrannyDocument::BuildMetadata","GrannyGetMeshTriangleGroupCount","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const int groups = GrannyGetMeshTriangleGroupCount(native);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","239","GrannyDocument::BuildMetadata","GrannyGetMeshTriangleGroups","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const auto* groupData = GrannyGetMeshTriangleGroups(native);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","261","std::memcpy","GrannyNewMeshBinding","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;D;G;H","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","auto* binding = GrannyNewMeshBinding(native, source->Skeleton, source->Skeleton);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","262","std::memcpy","GrannyGetMeshBindingToBoneIndices","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;D;G;H","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","const auto* remap = binding ? GrannyGetMeshBindingToBoneIndices(binding) : nullptr;"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","263","std::memcpy","GrannyGetMeshBindingBoneCount","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;D;G;H","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (remap && GrannyGetMeshBindingBoneCount(binding) == native->BoneBindingCount) {"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","270","std::memcpy","GrannyFreeMeshBinding","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B;G;H","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (binding) GrannyFreeMeshBinding(binding);"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","294","std::memcpy","GrannyCopyMeshVertices","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (bytes) GrannyCopyMeshVertices(native, type, destination.data());"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","306","std::memcpy","GrannyGetMeshBytesPerIndex","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","B","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","SDK/adapter symbol","if (width == IndexWidth::UInt16 && GrannyGetMeshBytesPerIndex(native) == 4) {"
