path,sha256,asset_type,usage_before,usage_after,cluster,reader_site,field,before,before_error,after,after_error,packed_native,granny_load,section_type_field_evidence,granny_reference_evidence
metin2_patch_dragon_rock_mobs/ymir work/monster2/manticore_boss2/special_attack.gr2,abbf7a5177482669f52f7e210d5aaf456bc3b278a8568dda0a88e93677b60eae,boss model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP Dummy01 flags=3 section:offset=0:188 type=6:4064 | PeriodicLoop section:offset=0:2660 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP Particle View 01 flags=3 section:offset=0:2708 type=6:4064 | GROUP Bip01 flags=3 section:offset=0:2900 type=6:4064,REF_GROUP 2 loop=0 0 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=0 0 0 rotation=0 0 0
metin2_patch_dragon_rock_mobs/ymir work/monster2/ogre_boss2/run.gr2,7c7d787fb6c3638f2b607d27456bac80359d6679ef78ce212784a72369ee700e,boss model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP Bip01 flags=3 section:offset=0:180 type=6:4064 | PeriodicLoop section:offset=0:31944 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3;,REF_GROUP 0 loop=0 0 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=-0.20153 -99.5074 6.43501 rotation=1.11644e-09 2.23289e-09 -3.68005e-11 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=-0.20153 -99.5074 6.43501 rotation=1.11644e-09 2.23289e-09 -3.68005e-11 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=-0.20153 -99.5074 6.43501 rotation=1.11644e-09 2.23289e-09 -3.68005e-11 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=-0.20153 -99.5074 6.43501 rotation=1.11644e-09 2.23289e-09 -3.68005e-11
metin2_patch_dragon_rock_mobs/ymir work/monster2/ogre_soldier/normal_attack1.gr2,407080b1910c756a3e30e0de6716b07f1cd82b7d5e4a56f8112418b040a6ed6f,mob model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP Bip01 flags=3 section:offset=0:180 type=6:4064 | PeriodicLoop section:offset=0:39964 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3;,REF_GROUP 0 loop=0 0 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 0 0 rotation=-5.58072e-10 -2.23229e-09 9.0635e-11 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 0 0 rotation=-5.58072e-10 -2.23229e-09 9.0635e-11 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 0 0 rotation=-5.58072e-10 -2.23229e-09 9.0635e-11 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=0 0 0 rotation=-5.58072e-10 -2.23229e-09 9.0635e-11
metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief2_soldier2/redthief2_soldier2_lod_01.gr2,055083f483bfc167f7052ba7285402e366334065a674d1848c2886240ff7b685,mob model/animation,production,production,empty_mesh,GR2MeshReader.cpp: ReadMesh,Mesh.PrimaryVertexData.Vertices / PrimaryTopology,malformed,empty mesh vertices,parsed,,1,1,"BONE index=0 parent=-1 name=""Object01"" section:offset=0:1832 type=6:51296 | MESH Object01 vertex_count=0 indices=0 index16=0 groups=0 section:offset=0:20828 type=6:52544 | BONE index=0 parent=-1 name=""Bip01"" section:offset=0:2516 type=6:51296 | MESH redthief2_soldier2 vertex_count=1990 indices=7392 index16=0 groups=1 section:offset=0:21428 type=6:52544 | MESH shoulder vertex_count=305 indices=882 index16=0 groups=1 section:offset=0:18796 type=6:52544 | MESH waist vertex_count=193 indices=393 index16=0 groups=1 section:offset=0:16764 type=6:52544 | MESH redthief2_soldier2_weapon2 vertex_count=118 indices=318 index16=0 groups=1 section:offset=0:16164 type=6:52544 | MESH redthief2_soldier2_weapon1 vertex_count=118 indices=318 index16=0 groups=1 section:offset=0:15564 type=6:52544 | BONE index=0 parent=-1 name=""]"" section:offset=0:14104 type=6:51296 | MESH ] vertex_count=0 indices=0 index16=0 groups=0 section:offset=0:23460 type=6:52544",
metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief_general/back_damage.gr2,083b0e312850d9df28d4f2cd4cfbcf82c45b9a5278c5ac494128803286aa157b,boss model/animation,production,production,nonfinite_curve,GR2AnimationReader.cpp: ReadCurve -> Types::Reals -> File::Float,"TransformTracks[].{Position,Orientation,ScaleShear}Curve.Controls[]",malformed,nonfinite float,malformed,nonfinite float,0,1,NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[0].Real32[0] section:offset=0:8556 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[1].Real32[0] section:offset=0:8560 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[2].Real32[0] section:offset=0:8564 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[3].Real32[0] section:offset=0:8568 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[4].Real32[0] section:offset=0:8572 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[5].Real32[0] section:offset=0:8576 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[6].Real32[0] section:offset=0:8580 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[7].Real32[0] section:offset=0:8584 bits=7fc00000 type=6:4640,REF_GROUP 0 loop=0 0 0 | REF_NAN_BONE 42 Bip01 R Finger2 | REF_NAN_BONE 43 Bip01 R Finger21 | REF_NAN_BONE 44 Bip01 R Finger22 | REF_NAN_BONE 45 Bip01 R Finger2Nub | REF_NAN_BONE 68 Bip01 L Finger2 | REF_NAN_BONE 69 Bip01 L Finger21 | REF_NAN_BONE 70 Bip01 L Finger22 | REF_NAN_BONE 71 Bip01 L Finger2Nub | REF_SAMPLE fraction=0 nan_bones=8 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=8 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=8 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=8 translation=0 0 0 rotation=0 0 0
metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief_general/front_damage.gr2,85e893322fc9ee7fc94947e4e52d50c52e4b0b327980b1a6fff57fc40a1bc6bb,boss model/animation,usage unresolved,usage unresolved,nonfinite_curve,GR2AnimationReader.cpp: ReadCurve -> Types::Reals -> File::Float,"TransformTracks[].{Position,Orientation,ScaleShear}Curve.Controls[]",malformed,nonfinite float,malformed,nonfinite float,0,1,NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[0].Real32[0] section:offset=0:8556 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[1].Real32[0] section:offset=0:8560 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[2].Real32[0] section:offset=0:8564 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[3].Real32[0] section:offset=0:8568 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[4].Real32[0] section:offset=0:8572 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[5].Real32[0] section:offset=0:8576 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[6].Real32[0] section:offset=0:8580 bits=7fc00000 type=6:4640 | NONFINITE Root.TrackGroups[0].TransformTracks[14].PositionCurve.Controls[7].Real32[0] section:offset=0:8584 bits=7fc00000 type=6:4640,REF_GROUP 0 loop=0 0 0 | REF_NAN_BONE 42 Bip01 R Finger2 | REF_NAN_BONE 43 Bip01 R Finger21 | REF_NAN_BONE 44 Bip01 R Finger22 | REF_NAN_BONE 45 Bip01 R Finger2Nub | REF_NAN_BONE 68 Bip01 L Finger2 | REF_NAN_BONE 69 Bip01 L Finger21 | REF_NAN_BONE 70 Bip01 L Finger22 | REF_NAN_BONE 71 Bip01 L Finger2Nub | REF_SAMPLE fraction=0 nan_bones=8 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=8 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=8 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=8 translation=0 0 0 rotation=0 0 0
metin2_patch_easter1/ymir work/pc/warrior/hair/hair_11_1.gr2,3c88e07aac4ae6987994035d32850db24648c6b4aa05678051dd4310077941c3,player hair,production,production,skeleton_forest,GR2ModelReader.cpp: Read / RuntimeSkeleton::Initialize,Skeleton.Bones[].ParentIndex,unsupported curve/type,runtime skeleton: skeleton requires exactly one connected root,parsed,,1,1,"BONE index=0 parent=-1 name=""00000000000000"" section:offset=0:1008 type=6:20608 | BONE index=1 parent=-1 name=""Bip01"" section:offset=0:1164 type=6:20608 | MESH hair_11_1 vertex_count=207 indices=1020 index16=0 groups=1 section:offset=0:14256 type=6:21856",
metin2_patch_easter1/ymir work/pc/warrior/warrior_rabbit1_backup.gr2,8294a442290a0ca867feb3002eb21338761fd16c252b9b88de1760dbf86667cf,player model,usage unresolved,usage unresolved,skeleton_forest,GR2ModelReader.cpp: Read / RuntimeSkeleton::Initialize,Skeleton.Bones[].ParentIndex,unsupported curve/type,runtime skeleton: skeleton requires exactly one connected root,parsed,,1,1,"BONE index=0 parent=-1 name=""00000000000000"" section:offset=0:1824 type=6:24128 | BONE index=1 parent=-1 name=""Bip01"" section:offset=0:1980 type=6:24128 | MESH warrior_face vertex_count=180 indices=1002 index16=0 groups=1 section:offset=0:18028 type=6:25376 | MESH warrior_rabbit1 vertex_count=1133 indices=5022 index16=0 groups=1 section:offset=0:15348 type=6:25376",
metin2_patch_eu4/ymir work/npc2/halloween1/halloween1.gr2,c2e66c7b9dbdf327b2f159001d46833e93e242e7cc7222dc7cb89a05ed19d76f,NPC model/animation,production,production,duplicate_bone_names,GR2ModelReader.cpp: Read / RuntimeSkeleton::Initialize,Skeleton.Bones[].Name,malformed,skeleton: bone names must be nonempty and unique,parsed,,1,1,"BONE index=0 parent=-1 name=""bip01"" section:offset=0:1824 type=6:15712 | BONE index=12 parent=1 name=""bone01"" section:offset=0:3696 type=6:15712 | BONE index=71 parent=1 name=""bone01"" section:offset=0:12900 type=6:15712 | MESH halloween1 vertex_count=2416 indices=9132 index16=0 groups=2 section:offset=0:14224 type=6:16960",
metin2_patch_eu4/ymir work/npc2/halloween1/wait.gr2,6c4cc43a1c00af74d10e8ccf32556b9af2d5726b951445a8e44f52f88bbf07d1,NPC model/animation,production,production,duplicate_track_names,GR2AnimationReader.cpp: ReadAnimation / BindAnimation,TrackGroup.TransformTracks[].Name,malformed,duplicate/empty track target,parsed,,1,1,"GROUP bone01 flags=2 section:offset=0:184 type=6:4064 | GROUP bip01 flags=2 section:offset=0:412 type=6:4064 | TEXT_OUTSIDE time=4.66666651 duration=1.33333337 label=end section:offset=0:21328 type=6:4960 | TRACK index=63 first=62 name=""bone01"" section:offset=0:4572 type=6:4704","REF_GROUP 1 loop=0 0 0 | REF_BIND bone=71 name=""bone01"" find_bone=12 track=63 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 0 0 rotation=0 0 0 | REF_SAMPLE fraction=1.10000002 nan_bones=0 translation=0 0 0 rotation=0 0 0"
