"File","Line","Class","Function","API","Category","NormalClientReachability","DiligentAlternative","M11Action","CallChain"
"extern/include/d3d9.h","217","-","declaration/global","IDirect3DStateBlock9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","218","-","declaration/global","IDirect3DResource9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","218","-","declaration/global","IDirect3DResource9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","219","-","declaration/global","IDirect3DVertexDeclaration9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","219","-","declaration/global","IDirect3DVertexDeclaration9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","220","-","declaration/global","IDirect3DVertexShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","220","-","declaration/global","IDirect3DVertexShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","221","-","declaration/global","IDirect3DPixelShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","221","-","declaration/global","IDirect3DPixelShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","222","-","declaration/global","IDirect3DBaseTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","222","-","declaration/global","IDirect3DBaseTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","223","-","declaration/global","IDirect3DTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","223","-","declaration/global","IDirect3DTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","224","-","declaration/global","IDirect3DVolumeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","224","-","declaration/global","IDirect3DVolumeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","225","-","declaration/global","IDirect3DCubeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","225","-","declaration/global","IDirect3DCubeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","227","-","declaration/global","IDirect3DVertexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","227","-","declaration/global","IDirect3DVertexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","228","-","declaration/global","IDirect3DIndexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","228","-","declaration/global","IDirect3DIndexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","230","-","declaration/global","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","230","-","declaration/global","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","231","-","declaration/global","IDirect3DVolume9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","231","-","declaration/global","IDirect3DVolume9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","233","-","declaration/global","IDirect3DSwapChain9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","233","-","declaration/global","IDirect3DSwapChain9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","234","-","declaration/global","IDirect3DQuery9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","234","-","declaration/global","IDirect3DQuery9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","240","-","declaration/global","IDirect3D9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","240","-","declaration/global","IDirect3D9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","241","-","declaration/global","IDirect3DDevice9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","241","-","declaration/global","IDirect3DDevice9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","242","-","declaration/global","IDirect3DSwapChain9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","242","-","declaration/global","IDirect3DSwapChain9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","245","-","declaration/global","IDirect3DAuthenticatedChannel9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","245","-","declaration/global","IDirect3DAuthenticatedChannel9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","246","-","declaration/global","IDirect3DCryptoSession9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","246","-","declaration/global","IDirect3DCryptoSession9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","256","-","declaration/global","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","256","-","declaration/global","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","257","-","declaration/global","IDirect3DDevice9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","257","-","declaration/global","IDirect3DDevice9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","258","-","declaration/global","IDirect3DStateBlock9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","258","-","declaration/global","IDirect3DStateBlock9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","259","-","declaration/global","IDirect3DVertexDeclaration9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","259","-","declaration/global","IDirect3DVertexDeclaration9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","260","-","declaration/global","IDirect3DVertexShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","260","-","declaration/global","IDirect3DVertexShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","261","-","declaration/global","IDirect3DPixelShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","261","-","declaration/global","IDirect3DPixelShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","262","-","declaration/global","IDirect3DResource9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","262","-","declaration/global","IDirect3DResource9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","263","-","declaration/global","IDirect3DBaseTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","263","-","declaration/global","IDirect3DBaseTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","264","-","declaration/global","IDirect3DTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","264","-","declaration/global","IDirect3DTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","265","-","declaration/global","IDirect3DVolumeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","265","-","declaration/global","IDirect3DVolumeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","266","-","declaration/global","IDirect3DCubeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","266","-","declaration/global","IDirect3DCubeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","267","-","declaration/global","IDirect3DVertexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","267","-","declaration/global","IDirect3DVertexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","268","-","declaration/global","IDirect3DIndexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","268","-","declaration/global","IDirect3DIndexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","269","-","declaration/global","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","269","-","declaration/global","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","270","-","declaration/global","IDirect3DVolume9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","270","-","declaration/global","IDirect3DVolume9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","271","-","declaration/global","IDirect3DSwapChain9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","271","-","declaration/global","IDirect3DSwapChain9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","272","-","declaration/global","IDirect3DQuery9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","272","-","declaration/global","IDirect3DQuery9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","279","-","declaration/global","IDirect3D9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","279","-","declaration/global","IDirect3D9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","280","-","declaration/global","IDirect3DDevice9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","280","-","declaration/global","IDirect3DDevice9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","281","-","declaration/global","IDirect3DSwapChain9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","281","-","declaration/global","IDirect3DSwapChain9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","284","-","declaration/global","IDirect3DAuthenticatedChannel9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","284","-","declaration/global","IDirect3DAuthenticatedChannel9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","285","-","declaration/global","IDirect3DCryptoSession9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","285","-","declaration/global","IDirect3DCryptoSession9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","306","-","declaration/global","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","331","-","declaration/global","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","333","-","DECLARE_INTERFACE_","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","340","-","DECLARE_INTERFACE_","IDirect3D9","F","comment or string literal only","n/a","Retain text; excluded from runtime API counts","no API execution"
"extern/include/d3d9.h","354","-","DECLARE_INTERFACE_","IDirect3DDevice9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","361","-","declaration/global","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","361","-","declaration/global","LPDIRECT3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","424","-","declaration/global","IDirect3DDevice9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","426","-","DECLARE_INTERFACE_","IDirect3DDevice9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","433","-","DECLARE_INTERFACE_","IDirect3DDevice9","F","comment or string literal only","n/a","Retain text; excluded from runtime API counts","no API execution"
"extern/include/d3d9.h","437","-","DECLARE_INTERFACE_","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","441","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","444","-","DECLARE_INTERFACE_","IDirect3DSwapChain9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","445","-","DECLARE_INTERFACE_","IDirect3DSwapChain9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","449","-","DECLARE_INTERFACE_","GetBackBuffer","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","449","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","452","-","DECLARE_INTERFACE_","SetGammaRamp","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","454","-","DECLARE_INTERFACE_","CreateTexture","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","454","-","DECLARE_INTERFACE_","IDirect3DTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","455","-","DECLARE_INTERFACE_","IDirect3DVolumeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","456","-","DECLARE_INTERFACE_","IDirect3DCubeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","457","-","DECLARE_INTERFACE_","CreateVertexBuffer","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","457","-","DECLARE_INTERFACE_","IDirect3DVertexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","458","-","DECLARE_INTERFACE_","CreateIndexBuffer","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","458","-","DECLARE_INTERFACE_","IDirect3DIndexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","459","-","DECLARE_INTERFACE_","CreateRenderTarget","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","459","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","460","-","DECLARE_INTERFACE_","CreateDepthStencilSurface","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","460","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","461","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","461","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","462","-","DECLARE_INTERFACE_","IDirect3DBaseTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","462","-","DECLARE_INTERFACE_","IDirect3DBaseTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","463","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","463","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","464","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","465","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","465","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","465","-","DECLARE_INTERFACE_","StretchRect","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","466","-","DECLARE_INTERFACE_","ColorFill","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","466","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","467","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","468","-","DECLARE_INTERFACE_","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","468","-","DECLARE_INTERFACE_","SetRenderTarget","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
